token	category	is_homograph	kbbi_pos	is_multi_word
aldira	orang:nama-depan	f		f
aldo	orang:nama-depan	f		f
aldrian	orang:nama-keluarga	f		f
alemsom	wilayah:kecamatan	f		f
alessandra	orang:nama-depan	f		f
alessandro	orang:nama-depan	f		f
alessia	orang:nama-depan	f		f
aleta	orang:nama-depan	f		f
aletrino	orang:nama-keluarga	f		f
alex	orang:nama-depan	f		f
alexa	orang:nama-keluarga	f		f
alexander	orang:nama-depan	f		f
alexandra	orang:nama-depan	f		f
alexis	orang:nama-depan	f		f
alexius	orang:nama-depan	f		f
alfandy	orang:nama-depan	f		f
alfarez	orang:nama-keluarga	f		f
alfia	orang:nama-depan	f		f
alfian	orang:nama-depan	f		f
alfian	orang:nama-keluarga	f		f
alfiansyah	orang:nama-depan	f		f
alfira	orang:nama-depan	f		f
alfons	orang:nama-depan	f		f
alfonso	orang:nama-keluarga	f		f
alfred	orang:nama-depan	f		f
alhasny	orang:nama-keluarga	f		f
alia	orang:nama-depan	f		f
alia	orang:nama-keluarga	f		f
alian	wilayah:kecamatan	f		f
alice	orang:nama-depan	f		f
alicia	orang:nama-depan	f		f
alida	orang:nama-depan	f		f
alief	orang:nama-depan	f		f
alifa	orang:nama-depan	f		f
alifia	orang:nama-depan	f		f
alifia	orang:nama-keluarga	f		f
aline	orang:nama-depan	f		f
alinka	orang:nama-depan	f		f
alisia	orang:nama-depan	f		f
alissa	orang:nama-depan	f		f
aliya	orang:nama-depan	f		f
alkadrie	orang:nama-keluarga	f		f
alla	wilayah:kecamatan	f		f
allan	orang:nama-depan	f		f
allan	orang:nama-keluarga	f		f
allessya	orang:nama-depan	f		f
allu	wilayah:kecamatan	f		f
alma	orang:nama-depan	f		f
almaira	orang:nama-depan	f		f
alok	wilayah:kecamatan	f		f
alom	orang:nama-keluarga	f		f
aloysius	orang:nama-depan	f		f
alriani	orang:nama-keluarga	f		f
alrie	orang:nama-depan	f		f
aluang	wilayah:kecamatan	f		f
aluh	wilayah:kecamatan	f		f
alvaro	orang:nama-depan	f		f
alvent	orang:nama-depan	f		f
alverino	orang:nama-depan	f		f
alviani	orang:nama-keluarga	f		f
alvin	orang:nama-depan	f		f
alvin	orang:nama-keluarga	f		f
alvira	orang:nama-depan	f		f
alwi	orang:nama-depan	f		f
alwi	orang:nama-keluarga	f		f
alya	orang:nama-depan	f		f
alysa	orang:nama-depan	f		f
alyssa	orang:nama-depan	f		f
amabel	orang:nama-depan	f		f
amabi	wilayah:kecamatan	f		f
amadeus	orang:nama-depan	f		f
amahai	wilayah:kecamatan	f		f
amalatu	wilayah:kecamatan	f		f
amali	wilayah:kecamatan	f		f
amalia	orang:nama-depan	f		f
amalia	orang:nama-keluarga	f		f
amalina	orang:nama-depan	f		f
amallia	orang:nama-depan	f		f
amalya	orang:nama-depan	f		f
amanatun	wilayah:kecamatan	f		f
amanda	orang:nama-depan	f		f
amandraya	wilayah:kecamatan	f		f
amani	orang:nama-depan	f		f
amanuban	wilayah:kecamatan	f		f
amarasi	wilayah:kecamatan	f		f
amartya	orang:nama-keluarga	f		f
amas	wilayah:kecamatan	f		f
ambalau	wilayah:kecamatan	f		f
ambalawi	wilayah:kecamatan	f		f
ambatkwi	wilayah:kecamatan	f		f
ambawang	wilayah:kecamatan	f		f
amberbaken	wilayah:kecamatan	f		f
ambulu	wilayah:kecamatan	f		f
ambunten	wilayah:kecamatan	f		f
amelia	orang:nama-depan	f		f
amelia	orang:nama-keluarga	f		f
ames	orang:nama-keluarga	f		f
amet	orang:nama-keluarga	f		f
amfoang	wilayah:kecamatan	f		f
amhar	orang:nama-depan	f		f
amik	orang:nama-depan	f		f
amika	orang:nama-depan	f		f
amira	orang:nama-depan	f		f
amiradana	orang:nama-keluarga	f		f
amma	wilayah:kecamatan	f		f
amon	orang:nama-depan	f		f
amonggedo	wilayah:kecamatan	f		f
amos	orang:nama-depan	f		f
ampana	wilayah:kecamatan	f		f
ampar	wilayah:kecamatan	f		f
ampelgading	wilayah:kecamatan	f		f
ampenan	wilayah:kecamatan	f		f
ampibabo	wilayah:kecamatan	f		f
ampimoi	wilayah:kecamatan	f		f
amplas	wilayah:kecamatan	f		f
amran	orang:nama-keluarga	f		f
amri	orang:nama-depan	f		f
amrullah	orang:nama-depan	f		f
amuma	wilayah:kecamatan	f		f
amungkalpia	wilayah:kecamatan	f		f
amuntai	wilayah:kecamatan	f		f
amurang	wilayah:kecamatan	f		f
amy	orang:nama-depan	f		f
anai	wilayah:kecamatan	f		f
anam	wilayah:kecamatan	f		f
anambas	wilayah:kabupaten-kota	f		f
anand	orang:nama-depan	f		f
anandaffa	orang:nama-depan	f		f
anandita	orang:nama-depan	f		f
ananta	orang:nama-depan	f		f
anas	orang:nama-depan	f		f
anas	orang:nama-keluarga	f		f
anastasia	orang:nama-depan	f		f
anastasia	orang:nama-keluarga	f		f
anastasya	orang:nama-depan	f		f
anawi	wilayah:kecamatan	f		f
ancalong	wilayah:kecamatan	f		f
ance	orang:nama-depan	f		f
andela	orang:nama-keluarga	f		f
anderson	orang:nama-depan	f		f
andey	wilayah:kecamatan	f		f
andhika	orang:nama-depan	f		f
andi	orang:nama-depan	f		f
andie	orang:nama-depan	f		f
andini	orang:nama-depan	f		f
andini	orang:nama-keluarga	f		f
andir	wilayah:kecamatan	f		f
andoolo	wilayah:kecamatan	f		f
andowia	wilayah:kecamatan	f		f
andre	orang:nama-depan	f		f
andrea	orang:nama-depan	f		f
andreas	orang:nama-depan	f		f
andreas	orang:nama-keluarga	f		f
andrei	orang:nama-depan	f		f
andres	orang:nama-depan	f		f
andreti	orang:nama-keluarga	f		f
andrew	orang:nama-depan	f		f
andri	orang:nama-depan	f		f
andrian	orang:nama-keluarga	f		f
andriani	orang:nama-keluarga	f		f
andriano	orang:nama-keluarga	f		f
andrianus	orang:nama-depan	f		f
andrias	orang:nama-depan	f		f
andrik	orang:nama-depan	f		f
andrino	orang:nama-keluarga	f		f
andris	orang:nama-depan	f		f
andré	orang:nama-depan	f		f
andy	orang:nama-depan	f		f
aneira	orang:nama-depan	f		f
anestasy	orang:nama-depan	f		f
ang	orang:nama-keluarga	f		f
angata	wilayah:kecamatan	f		f
angela	orang:nama-depan	f		f
angelia	orang:nama-depan	f		f
angelica	orang:nama-depan	f		f
angelina	orang:nama-depan	f		f
angelina	orang:nama-keluarga	f		f
angeline	orang:nama-depan	f		f
angeline	orang:nama-keluarga	f		f
angelique	orang:nama-depan	f		f
angelita	orang:nama-depan	f		f
angelo	orang:nama-depan	f		f
anggaberi	wilayah:kecamatan	f		f
anggalomoare	wilayah:kecamatan	f		f
anggana	wilayah:kecamatan	f		f
anggang	wilayah:kecamatan	f		f
angger	orang:nama-depan	f		f
anggeraja	wilayah:kecamatan	f		f
anggi	orang:nama-depan	f		f
anggi	wilayah:kecamatan	f		f
anggia	orang:nama-depan	f		f
anggie	orang:nama-depan	f		f
anggraeni	orang:nama-keluarga	f		f
anggraini	orang:nama-depan	f		f
anggraini	orang:nama-keluarga	f		f
anggruk	wilayah:kecamatan	f		f
angguni	orang:nama-keluarga	f		f
angkaisera	wilayah:kecamatan	f		f
angkek	wilayah:kecamatan	f		f
angkinang	wilayah:kecamatan	f		f
angkola	wilayah:kecamatan	f		f
angkona	wilayah:kecamatan	f		f
angouw	orang:nama-keluarga	f		f
angriawan	orang:nama-keluarga	f		f
angu	wilayah:kecamatan	f		f
anhar	orang:nama-depan	f		f
anhar	orang:nama-keluarga	f		f
anicetus	orang:nama-depan	f		f
anida	orang:nama-depan	f		f
anike	orang:nama-depan	f		f
animha	wilayah:kecamatan	f		f
aninditya	orang:nama-keluarga	f		f
anindya	orang:nama-depan	f		f
anisanaya	orang:nama-depan	f		f
anissa	orang:nama-depan	f		f
anita	orang:nama-depan	f		f
anjani	orang:nama-keluarga	f		f
anjatan	wilayah:kecamatan	f		f
anjongan	wilayah:kecamatan	f		f
anleu	wilayah:kecamatan	f		f
anna	orang:nama-depan	f		f
annabelle	orang:nama-depan	f		f
anne	orang:nama-depan	f		f
anneke	orang:nama-depan	f		f
annemarie	orang:nama-depan	f		f
annete	orang:nama-depan	f		f
annette	orang:nama-depan	f		f
annie	orang:nama-depan	f		f
annisa	orang:nama-depan	f		f
annisa	orang:nama-keluarga	f		f
anny	orang:nama-depan	f		f
anogomma	wilayah:kecamatan	f		f
anotaurei	wilayah:kecamatan	f		f
anreapi	wilayah:kecamatan	f		f
anrimusthi	orang:nama-keluarga	f		f
anselma	orang:nama-depan	f		f
anselmus	orang:nama-depan	f		f
antang	wilayah:kecamatan	f		f
antapani	wilayah:kecamatan	f		f
antardayu	orang:nama-keluarga	f		f
antarini	orang:nama-keluarga	f		f
antasari	orang:nama-keluarga	f		f
anthony	orang:nama-depan	f		f
antoine	orang:nama-depan	f		f
antoinette	orang:nama-depan	f		f
anton	orang:nama-depan	f		f
antoni	orang:nama-depan	f		f
antonia	orang:nama-depan	f		f
antonio	orang:nama-depan	f		f
antonius	orang:nama-depan	f		f
antonius	orang:nama-keluarga	f		f
antony	orang:nama-depan	f		f
anwar	orang:nama-depan	f		f
anwar	orang:nama-keluarga	f		f
anya	orang:nama-depan	f		f
anyza	orang:nama-depan	f		f
aom	wilayah:kecamatan	f		f
apalapsili	wilayah:kecamatan	f		f
apari	wilayah:kecamatan	f		f
apawer	wilayah:kecamatan	f		f
apelles	orang:nama-depan	f		f
apin	orang:nama-keluarga	f		f
apri	orang:nama-depan	f		f
aprida	orang:nama-depan	f		f
aprilia	orang:nama-depan	f		f
aprilia	orang:nama-keluarga	f		f
apriliana	orang:nama-depan	f		f
aprillian	orang:nama-keluarga	f		f
aprilliyanto	orang:nama-keluarga	f		f
aprilsasi	orang:nama-depan	f		f
apriyanda	orang:nama-keluarga	f		f
apriyandi	orang:nama-keluarga	f		f
apriyani	orang:nama-depan	f		f
aqmar	orang:nama-depan	f		f
aquino	orang:nama-depan	f		f
aquiritto	orang:nama-depan	f		f
aradide	wilayah:kecamatan	f		f
arafixqli	orang:nama-keluarga	f		f
aralle	wilayah:kecamatan	f		f
aramo	wilayah:kecamatan	f		f
aranday	wilayah:kecamatan	f		f
aranio	wilayah:kecamatan	f		f
arauna	orang:nama-keluarga	f		f
arbi	orang:nama-depan	f		f
arbi	orang:nama-keluarga	f		f
arbitama	orang:nama-keluarga	f		f
arcamanik	wilayah:kecamatan	f		f
archer	orang:nama-keluarga	f		f
archie	orang:nama-depan	f		f
ardelia	orang:nama-keluarga	f		f
ardiansyah	orang:nama-depan	f		f
ardiansyah	orang:nama-keluarga	f		f
ardianto	orang:nama-keluarga	f		f
ardita	orang:nama-depan	f		f
ardwiantini	orang:nama-keluarga	f		f
ardy	orang:nama-depan	f		f
arfa	orang:nama-keluarga	f		f
arfak	wilayah:kabupaten-kota	f		f
arfiansyah	orang:nama-keluarga	f		f
arga	wilayah:kecamatan	f		f
argapura	wilayah:kecamatan	f		f
argo	orang:nama-depan	f		f
argomulyo	wilayah:kecamatan	f		f
arguni	wilayah:kecamatan	f		f
ariadi	orang:nama-keluarga	f		f
ariana	orang:nama-depan	f		f
ariani	orang:nama-keluarga	f		f
ariantho	orang:nama-keluarga	f		f
arianti	orang:nama-depan	f		f
arie	orang:nama-depan	f		f
arieda	orang:nama-depan	f		f
arief	orang:nama-depan	f		f
arief	orang:nama-keluarga	f		f
ariel	orang:nama-depan	f		f
ariella	orang:nama-depan	f		f
arifah	orang:nama-keluarga	f		f
ariff	orang:nama-keluarga	f		f
arimop	wilayah:kecamatan	f		f
arina	orang:nama-depan	f		f
arinda	orang:nama-depan	f		f
ario	orang:nama-depan	f		f
arissanti	orang:nama-keluarga	f		f
arista	orang:nama-keluarga	f		f
arita	orang:nama-depan	f		f
arjasa	wilayah:kecamatan	f		f
arjasari	wilayah:kecamatan	f		f
arjawinangun	wilayah:kecamatan	f		f
arjosari	wilayah:kecamatan	f		f
arlan	orang:nama-depan	f		f
arling	orang:nama-keluarga	f		f
arly	orang:nama-depan	f		f
arlya	orang:nama-depan	f		f
arma	wilayah:kecamatan	f		f
arman	orang:nama-depan	f		f
armand	orang:nama-depan	f		f
armando	orang:nama-depan	f		f
armanto	orang:nama-keluarga	f		f
armida	orang:nama-depan	f		f
armin	orang:nama-depan	f		f
armindo	orang:nama-depan	f		f
arnaldo	orang:nama-depan	f		f
arnaz	orang:nama-keluarga	f		f
arni	orang:nama-keluarga	f		f
arnia	orang:nama-depan	f		f
arnold	orang:nama-depan	f		f
aro	wilayah:kecamatan	f		f
aroba	wilayah:kecamatan	f		f
arongan	wilayah:kecamatan	f		f
arosbaya	wilayah:kecamatan	f		f
arpi	orang:nama-depan	f		f
arrafi	orang:nama-depan	f		f
arrigo	orang:nama-depan	f		f
arse	wilayah:kecamatan	f		f
arslan	orang:nama-keluarga	f		f
arso	wilayah:kecamatan	f		f
arthur	orang:nama-depan	f		f
artur	orang:nama-depan	f		f
arum	orang:nama-depan	f		f
arumni	orang:nama-keluarga	f		f
arumningtyas	orang:nama-keluarga	f		f
arungkeke	wilayah:kecamatan	f		f
aruri	wilayah:kecamatan	f		f
arut	wilayah:kecamatan	f		f
arviani	orang:nama-depan	f		f
ary	orang:nama-depan	f		f
aryadi	orang:nama-keluarga	f		f
aryan	orang:nama-keluarga	f		f
aryanto	orang:nama-keluarga	f		f
aryono	orang:nama-depan	f		f
arzia	orang:nama-depan	f		f
asakota	wilayah:kecamatan	f		f
asela	orang:nama-keluarga	f		f
asem	wilayah:kecamatan	f		f
asembagus	wilayah:kecamatan	f		f
asera	wilayah:kecamatan	f		f
ases	wilayah:kecamatan	f		f
asha	orang:nama-depan	f		f
ashabul	orang:nama-depan	f		f
ashardi	orang:nama-keluarga	f		f
asharunnisa	orang:nama-keluarga	f		f
asher	orang:nama-keluarga	f		f
ashfa	orang:nama-depan	f		f
ashraf	orang:nama-depan	f		f
asinua	wilayah:kecamatan	f		f
aslim	orang:nama-keluarga	f		f
asmarani	orang:nama-keluarga	f		f
asnawi	orang:nama-depan	f		f
asologaima	wilayah:kecamatan	f		f
asolokobal	wilayah:kecamatan	f		f
asotipo	wilayah:kecamatan	f		f
aspar	orang:nama-depan	f		f
aspar	orang:nama-keluarga	f		f
assue	wilayah:kecamatan	f		f
assyifa	orang:nama-depan	f		f
asta	orang:nama-depan	f		f
astambul	wilayah:kecamatan	f		f
astanaanyar	wilayah:kecamatan	f		f
astanajapura	wilayah:kecamatan	f		f
asti	orang:nama-depan	f		f
astnan	orang:nama-depan	f		f
aston	orang:nama-depan	f		f
astrid	orang:nama-depan	f		f
astro	orang:nama-depan	f		f
astuti	orang:nama-keluarga	f		f
asty	orang:nama-depan	f		f
asuro	orang:nama-depan	f		f
aswani	orang:nama-keluarga	f		f
aswi	wilayah:kecamatan	f		f
ata	orang:nama-depan	f		f
atadei	wilayah:kecamatan	f		f
atambua	wilayah:kecamatan	f		f
ateuh	wilayah:kecamatan	f		f
athadhia	orang:nama-depan	f		f
athalia	orang:nama-depan	f		f
atik	orang:nama-depan	f		f
atinggola	wilayah:kecamatan	f		f
atmaja	orang:nama-depan	f		f
atsj	wilayah:kecamatan	f		f
attauba	orang:nama-depan	f		f
atu	orang:nama-depan	f		f
atu	wilayah:kecamatan	f		f
atulai	wilayah:kecamatan	f		f
atália	orang:nama-depan	f		f
aua	wilayah:kecamatan	f		f
auberta	orang:nama-depan	f		f
aubry	orang:nama-depan	f		f
audi	orang:nama-keluarga	f		f
audina	orang:nama-keluarga	f		f
audrey	orang:nama-depan	f		f
aufa	orang:nama-depan	f		f
august	orang:nama-depan	f		f
auguste	orang:nama-depan	f		f
augustia	orang:nama-depan	f		f
augustia	orang:nama-keluarga	f		f
augustin	orang:nama-depan	f		f
augustine	orang:nama-depan	f		f
auh	wilayah:kecamatan	f		f
aurel	orang:nama-depan	f		f
aurelia	orang:nama-depan	f		f
aurelie	orang:nama-depan	f		f
aurelius	orang:nama-keluarga	f		f
aurellia	orang:nama-depan	f		f
aurien	orang:nama-keluarga	f		f
aurélien	orang:nama-depan	f		f
austin	orang:nama-keluarga	f		f
avanti	orang:nama-depan	f		f
awanda	orang:nama-keluarga	f		f
awangpone	wilayah:kecamatan	f		f
away	orang:nama-depan	f		f
awayan	wilayah:kecamatan	f		f
aweida	wilayah:kecamatan	f		f
aweku	wilayah:kecamatan	f		f
awina	wilayah:kecamatan	f		f
awinbon	wilayah:kecamatan	f		f
awyu	wilayah:kecamatan	f		f
axel	orang:nama-depan	f		f
ayadi	orang:nama-keluarga	f		f
ayamaru	wilayah:kecamatan	f		f
ayau	wilayah:kecamatan	f		f
aye	wilayah:kecamatan	f		f
ayip	wilayah:kecamatan	f		f
ayman	orang:nama-depan	f		f
aysha	orang:nama-depan	f		f
ayudis	orang:nama-keluarga	f		f
ayumnati	wilayah:kecamatan	f		f
ayunidha	orang:nama-keluarga	f		f
ayus	orang:nama-keluarga	f		f
ayustine	orang:nama-keluarga	f		f
azhar	orang:nama-depan	f		f
azhar	orang:nama-keluarga	f		f
azhari	orang:nama-depan	f		f
azisah	orang:nama-depan	f		f
azisi	orang:nama-keluarga	f		f
azizah	orang:nama-depan	f		f
azizan	orang:nama-keluarga	f		f
azmeri	orang:nama-depan	f		f
azriel	orang:nama-depan	f		f
azzahra	orang:nama-depan	f		f
azzahra	orang:nama-keluarga	f		f
baamang	wilayah:kecamatan	f		f
babadan	wilayah:kecamatan	f		f
babakancikao	wilayah:kecamatan	f		f
babalan	wilayah:kecamatan	f		f
babaris	wilayah:kecamatan	f		f
babay	orang:nama-keluarga	f		f
babeko	wilayah:kecamatan	f		f
babelan	wilayah:kecamatan	f		f
babirik	wilayah:kecamatan	f		f
babo	wilayah:kecamatan	f		f
babuat	wilayah:kecamatan	f		f
babul	wilayah:kecamatan	f		f
babulu	wilayah:kecamatan	f		f
babussalam	wilayah:kecamatan	f		f
bacan	wilayah:kecamatan	f		f
bachtiar	orang:nama-keluarga	f		f
bacukiki	wilayah:kecamatan	f		f
badas	wilayah:kecamatan	f		f
badauh	wilayah:kecamatan	f		f
badegan	wilayah:kecamatan	f		f
badiri	wilayah:kecamatan	f		f
bae	wilayah:kecamatan	f		f
baebunta	wilayah:kecamatan	f		f
baek	wilayah:kecamatan	f		f
baganti	wilayah:kecamatan	f		f
bagelen	wilayah:kecamatan	f		f
baguala	wilayah:kecamatan	f		f
bagun	wilayah:kecamatan	f		f
bahau	wilayah:kecamatan	f		f
bahodopi	wilayah:kecamatan	f		f
bahorok	wilayah:kecamatan	f		f
bahri	orang:nama-keluarga	f		f
bahrun	orang:nama-depan	f		f
bahuga	wilayah:kecamatan	f		f
bai	orang:nama-depan	f		f
baito	wilayah:kecamatan	f		f
baiturrahman	wilayah:kecamatan	f		f
baitussalam	wilayah:kecamatan	f		f
bajawa	wilayah:kecamatan	f		f
bajeng	wilayah:kecamatan	f		f
bajenis	wilayah:kecamatan	f		f
bajo	wilayah:kecamatan	f		f
bajubang	wilayah:kecamatan	f		f
bajuin	wilayah:kecamatan	f		f
bakarangan	wilayah:kecamatan	f		f
bakauheni	wilayah:kecamatan	f		f
baker	orang:nama-keluarga	f		f
bakker	orang:nama-keluarga	f		f
bakong	wilayah:kecamatan	f		f
bakongan	wilayah:kecamatan	f		f
baktiraja	wilayah:kecamatan	f		f
baktiya	wilayah:kecamatan	f		f
bakumpai	wilayah:kecamatan	f		f
balaesang	wilayah:kecamatan	f		f
balaghar	wilayah:kecamatan	f		f
balakang	wilayah:kecamatan	f		f
balanipa	wilayah:kecamatan	f		f
balantak	wilayah:kecamatan	f		f
balapulang	wilayah:kecamatan	f		f
balaraja	wilayah:kecamatan	f		f
baleendah	wilayah:kecamatan	f		f
baleh	wilayah:kecamatan	f		f
balerejo	wilayah:kecamatan	f		f
balige	wilayah:kecamatan	f		f
balim	wilayah:kecamatan	f		f
balingga	wilayah:kecamatan	f		f
balinggi	wilayah:kecamatan	f		f
balingka	wilayah:kecamatan	f		f
balla	wilayah:kecamatan	f		f
ballieux	orang:nama-keluarga	f		f
balocci	wilayah:kecamatan	f		f
balongan	wilayah:kecamatan	f		f
balongbendo	wilayah:kecamatan	f		f
balongpanggang	wilayah:kecamatan	f		f
balqis	orang:nama-depan	f		f
balthasar	orang:nama-depan	f		f
balubur	wilayah:kecamatan	f		f
balusu	wilayah:kecamatan	f		f
bambaira	wilayah:kecamatan	f		f
bambalamotu	wilayah:kecamatan	f		f
bamban	wilayah:kecamatan	f		f
bambel	wilayah:kecamatan	f		f
bamgi	wilayah:kecamatan	f		f
bamusbama	wilayah:kecamatan	f		f
banama	wilayah:kecamatan	f		f
banawa	wilayah:kecamatan	f		f
bandarkedungmulyo	wilayah:kecamatan	f		f
bandaso	orang:nama-keluarga	f		f
bangedo	wilayah:kecamatan	f		f
banggae	wilayah:kecamatan	f		f
