nama	homograf_kbbi
Asuransi Jiwa Syariah Jasa Mitra Abadi	tidak
Asuransi Kredit Indonesia	tidak
Asuransi Kresna Mitra	tidak
Asuransi Multi Artha Guna	tidak
Asuransi Ramayana	tidak
Asuransi Tugu Pratama Indonesia	tidak
Ateliers Mecaniques D'Indonesie	tidak
Atlas Resources	tidak
ATM Bersama	tidak
Aug. Savelkoul	tidak
Aurora Asset Management	tidak
Austindo Nusantara Jaya	tidak
Auto2000	tidak
Autopedia Sukses Lestari	tidak
Avia Avian	tidak
Aviana Sinar Abadi	tidak
Avonetiq	tidak
Avrist Asset Management	tidak
Avrist Assurance	tidak
AXA Asset Management Indonesia	tidak
Axioo	tidak
AXIS	tidak
Ayana Land International	tidak
Ayers Asia Asset Management	tidak
Bahana TCW Investment Management	tidak
Bakrie & Brothers	tidak
Bakrie Global Ventura	tidak
Bakrie Group	tidak
Bakrie Sumatera Plantations	tidak
Bakrie Telecom	tidak
Bakrieland Development	tidak
Bali Bintang Sejahtera	tidak
Bali Premium Trip	tidak
Bali Premium Villa	tidak
Bali Towerindo Sentra	tidak
Bali Zero	tidak
Bandar Abadi Shipyard	tidak
Bandar Victory Shipyard	tidak
Bangun Karya Perkasa Jaya	tidak
Bank Aladin Syariah	tidak
Bank Amar Indonesia	tidak
Bank Artha Graha Internasional	tidak
Bank Banten	tidak
Bank BJB	tidak
Bank BJB Syariah	tidak
Bank BNI Syariah	tidak
Bank Bumi Arta	tidak
Bank Bumi Daya	tidak
Bank Capital Indonesia	tidak
Bank Central Asia	tidak
Bank China Construction Bank Indonesia	tidak
Bank CIMB Niaga	tidak
Bank Commonwealth	tidak
Bank Danamon Indonesia	tidak
Bank DBS Indonesia	tidak
Bank Ganesha	tidak
Bank Hagakita	tidak
Bank IBK Indonesia	tidak
Bank Ina Perdana	tidak
Bank J Trust Indonesia	tidak
Bank Jago	tidak
Bank KEB Hana Indonesia	tidak
Bank Maluku	tidak
Bank Mandiri Taspen	tidak
Bank Maspion	tidak
Bank Mayapada	tidak
Bank Maybank Indonesia	tidak
Bank Mega	tidak
Bank Mestika	tidak
Bank MNC Internasional	tidak
Bank Muamalat Indonesia	tidak
Bank Multiarta Sentosa	tidak
Bank Nagari	tidak
Bank Nationalnobu	tidak
Bank Negara Indonesia	tidak
Bank Neo Commerce	tidak
Bank NTT	tidak
Bank OCBC NISP	tidak
Bank of India Indonesia	tidak
Bank Oke Indonesia	tidak
Bank Panin Dubai Syariah	tidak
Bank Pembangunan Daerah Banten	tidak
Bank Pembangunan Daerah Jawa Tengah	tidak
Bank QNB Indonesia	tidak
Bank Rakyat Indonesia	tidak
Bank Rakyat Indonesia Agroniaga	tidak
Bank Raya Indonesia	tidak
Bank Sinarmas	tidak
Bank SMBC Indonesia	tidak
Bank Sulut	tidak
Bank Sumsel Babel	tidak
Bank Sumut	tidak
Bank Syariah Bukopin	tidak
Bank Syariah Indonesia	tidak
Bank Syariah Nasional	tidak
Bank Tabungan Negara	tidak
Bank UOB Indonesia Bali	tidak
Bank Victoria International	tidak
Bank Woori Saudara Indonesia	tidak
Bara Sumber Daya Nikel	tidak
Baramulti Suksessarana	tidak
Barito Pacific	tidak
Barometer Lite	tidak
Batam Aero Technic	tidak
Batamec Shipyard	tidak
Batavia Pictures	tidak
Batavia Prosperindo Aset Manajemen	tidak
Batavia Prosperindo Finance	tidak
Batavia Prosperindo Internasional	tidak
Batavia Prosperindo Trans	tidak
Batik Idjon	tidak
Batik Keris	tidak
Batikatelier Winotosastro	tidak
Batulicin Nusantara Maritim	tidak
Bayan Resources	tidak
Bayu Bahari Sentosa	tidak
Bayu Buana	tidak
BCA Finance Limited	tidak
BCA Sekuritas	tidak
BCA Syariah	tidak
Bekasi Asri Pemula	tidak
Bekasi Fajar Industrial Estate	tidak
Bengkalis Dockindo Perkasa	tidak
Bentoel Group	tidak
Bentoel International Investama	tidak
Berau Coal	tidak
Berdikari Pondasi Perkasa	tidak
Berita Film Indonesia	tidak
Berkah Beton Sadaya	tidak
Berkah Prima Perkasa	tidak
Berlian Laju Tanker	tidak
Berlina	tidak
Bersama Zatta Jaya	tidak
Best Agro International	tidak
Betonjaya Manunggal	tidak
BFI Finance Indonesia	tidak
Bhakti Agung Propertindo	tidak
Bhakti Multi Artha	tidak
Bhuwanatala Indah Permai	tidak
Bibit	ya
Big Bird	tidak
Bima Sakti Pertiwi	tidak
Binakarya Jaya Abadi	tidak
Bintang Mas Entertainment	tidak
Bintang Mas Mediautama	tidak
Bintang Mitra Semestaraya	tidak
Bintang Oto Global	tidak
Bintang Samudera Mandiri Lines	tidak
Bio Farma	tidak
Bioskop 21	tidak
BISI International	tidak
Black Canyon	tidak
Black Diamond Resources	tidak
Bliss Properti Indonesia	tidak
Blue Bird	tidak
BNI Asset Management	tidak
BNP Paribas Asset Management	tidak
Bodrex	tidak
Bogasari Flour Mills	tidak
Borma Toserba	tidak
Borneo Olah Sarana Sukses	tidak
Boston Furniture Industries .	tidak
BP-AKR	tidak
BPD Nusa Tenggara Timur	tidak
BPD Sulawesi Selatan Dan Sulawesi Barat	tidak
BPD Sumatera Utara	tidak
BreadLife	tidak
BRI Danareksa sekuritas	tidak
BRI Multifinance Indonesia	tidak
bTaskee	tidak
BTPN Syariah	tidak
Buana Artha Anugerah	tidak
Buana Finance	tidak
Buana Lintas Lautan	tidak
Budi Starch & Sweetener	tidak
Buka Investasi Bersama	tidak
Buka Mitra Indonesia	tidak
Buka Pengadaan Indonesia	tidak
Bukaka Teknik Utama	tidak
Bukit Asam	tidak
Bukit Darmo Property	tidak
Bukit Uluwatu Villa	tidak
Bumi Benowo Sukses Sejahtera	tidak
Bumi Citra Permai	tidak
Bumi Hero Perkasa	tidak
Bumi Laut Group	tidak
Bumi Laut Perkasa	tidak
Bumi Resources	tidak
Bumi Resources Minerals	tidak
Bumi Santosa Cemerlang	tidak
Bumi Serpong Damai	tidak
Bumi Serpong Damai (perusahaan)	tidak
Bumi Teknokultura Unggul	tidak
Bumilangit	tidak
Bumitama Agri	tidak
Bumitama Gunajaya Agro	tidak
Bundamedik	tidak
Bursa Efek Indonesia	tidak
Bursa Efek Jakarta	tidak
Bursa Efek Surabaya	tidak
Bursa Komoditi dan Derivatif Indonesia	tidak
Bussan Auto Finance	tidak
Buyung Poetra Sembada	tidak
byPulsa	tidak
Cabo Bali	tidak
Cahaya Bintang Medan	tidak
Cahaya Samudera Shipyard	tidak
Cahayaputra Asa Keramik	tidak
Cahayasakti Investindo Sukses	tidak
Cakra Buana Resources Energi	tidak
Cakra Mineral	tidak
California Fried Chicken	tidak
Campina Ice Cream Industry	tidak
Cap Lang	tidak
Capital Asset Management	tidak
Capital Financial Indonesia	tidak
Capitalinc Investment	tidak
Capitol Nusantara Indonesia	tidak
Capri Nusa Satu Properti	tidak
Caputra Mitra Sejati	tidak
Cardig Aero Services	tidak
Carita Boat Indonesia	tidak
Carousell	tidak
Cashlez Worldwide Indonesia	tidak
Catur Sentosa Adiprana	tidak
Caturkarda Depo Bangunan	tidak
Cemindo Gemilang	tidak
Central Omega Resources	tidak
Central Proteina Prima	tidak
Centratama Telekomunikasi Indonesia	tidak
Century Pharma	tidak
Century Textile Industry	tidak
Cerestar Indonesia	tidak
Cha Payom	tidak
Champ Resto Indonesia	tidak
Champion Pacific Indonesia	tidak
Chandra Asri Pacific	tidak
Charnic Capital	tidak
Charoen Pokphand Indonesia	tidak
Chemstar Indonesia	tidak
Chigo x Flip	tidak
Chitose Internasional	tidak
Chocolatos	tidak
Cikarang Listrindo	tidak
Cilacap Samudera Fishing Industry	tidak
CIMB Niaga Auto Finance	tidak
Cimory	tidak
Cipta Selera Murni	tidak
Ciptadana Asset Management	tidak
Ciputra Development	tidak
Circle K	tidak
Cisadane Sawit Raya	tidak
Cisarua Mountain Dairy	tidak
Cita Mineral Investindo	tidak
Citatah	tidak
CitiBank Indonesia	tidak
Citra Bahari Shipyard	tidak
Citra Borneo Utama	tidak
Citra Buana Prasida	tidak
Citra Marga Nusaphala Persada	tidak
Citra Putra Realty	tidak
Citra Shipyard	tidak
Citra Tubindo	tidak
City Retail Developments	tidak
Clipan Finance Indonesia	tidak
Coalignment	tidak
Coca-Cola Amatil	tidak
Codiosity	tidak
Colorpak Indonesia	tidak
Commsult Technology Indonesia	tidak
Communication Cable Systems Indonesia	tidak
Corpus Kapital Manajemen	tidak
Cottonindo Ariesta	tidak
COWELL DEVELOPMENT	tidak
Dafam Property Indonesia	tidak
Dailylepedia Grup Sejahtera	tidak
Dakota Cinema	tidak
Damai Sejahtera Abadi	tidak
DAMRI	tidak
Dana Brata Luhur	tidak
Danakita Investama	tidak
Danantara Asset Management	tidak
Danantara Investment Management	tidak
Danar Hadi	tidak
Danareksa	tidak
Danareksa Investment Management	tidak
Danasupra Erapacific	tidak
Dancow	tidak
Darma Henwa	tidak
Darmi Bersaudara	tidak
Darya-Varia Laboratoria	tidak
Data Sinergitama Jaya	tidak
Dayamitra Telekomunikasi	tidak
DCI Indonesia	tidak
Deco Exhibition	tidak
Dee Company	tidak
Delta Djakarta	tidak
Delta Dunia Makmur	tidak
Delta Shipyard	tidak
Demi Gisela Citra Sinema	tidak
Destinasi Tirta Nusantara	tidak
Dewata Freightinternational	tidak
Dewi Jaya	tidak
Dewi Shri Farmindo	tidak
Dharma Polimetal	tidak
Dharma Samudera Fishing Ind.	tidak
Dharma Samudera Fishing Industries	tidak
Dharma Satya Nusantara	tidak
Diagnos Laboratorium Utama	tidak
Diamond Citra Propertindo	tidak
Diamond Food Indonesia	tidak
Dian Swastatika Sentosa	tidak
Digiserve	tidak
Digital Mediatama Maxima	tidak
Discover Bali Group	tidak
Distribusi Voucher Nusantara	tidak
Djarum	tidak
Djasa Ubersakti	tidak
Djiefen tailor	tidak
DMS Propertindo	tidak
Dockyard Baguskuning	tidak
Dok & Perkapalan Kodja Bahari	tidak
Dok dan Perkapalan Air Kantung	tidak
Dok Duasatu Nusantara	tidak
Dokindo Almas Papua Shipyard	tidak
Dua Kelinci	tidak
Dua Putra Utama Makmur	tidak
Dumas Tanjung Perak Shipyard	tidak
Duta Anggada Realty	tidak
Duta Intidaya	tidak
Duta Palma	tidak
Duta Pertiwi	tidak
Duta Pertiwi Nusantara	tidak
Dutch American Plantation Company	tidak
Dwi Guna Laksana	tidak
Dyandra Media International	tidak
Dynaplast	tidak
Eagle High Plantations	tidak
Eastparc Hotel	tidak
Eastspring Investments Indonesia	tidak
ECOTAS Group Indonesia	tidak
Eduka System	tidak
EFishery	tidak
Eiger	tidak
Eka Sari Lorena Transport	tidak
Ekadharma International	tidak
Elang Mahkota Teknologi	tidak
Electronic City Indonesia	tidak
ELNUSA	tidak
Elta Record	tidak
Emados	tidak
Emco Asset Management	tidak
Emdeki Utama	tidak
Energi Agro Nusantara	tidak
Energi Mega Persada	tidak
Energi Mitra Investama	tidak
Energi Nusa Mandiri	tidak
Energy Management Indonesia	tidak
Enseval Putra Megatrading	tidak
Envy Technologies Indonesia	tidak
EPITHRE.	tidak
Equilab International (Indonesia)	tidak
Equity Development Investment	tidak
Equity Sekuritas Indonesia	tidak
Era Digital Media	tidak
Era Graharealty	tidak
Era Mandiri Cemerlang	tidak
Era Media Sejahtera	tidak
Erajaya Swasembada	tidak
eraspace	tidak
Eratex Djaja	tidak
Es Teler 77	tidak
Esemka	tidak
Esta Multi Usaha	tidak
Estee Gold Feet	tidak
Estika Tata Tiara	tidak
Eterindo Wahanatama	tidak
Eureka Prima Jakarta	tidak
Ever Shine Textile Industry	tidak
Evercoss	tidak
Evergreen Invesco	tidak
Excellence Era Propertindo	tidak
Excelso	tidak
Exploitasi Energi Indonesia	tidak
Express Transindo Utama	tidak
F.B. Smits	tidak
Fajar Lestari Sejati	tidak
Fajar Surya Wisesa	tidak
Falcon Pictures	tidak
Falmaco Nonwoven Industri	tidak
FamilyMart	tidak
Famon Awal Bros Sedaya	tidak
FAP Agri	tidak
Fastfood Indonesia PT	tidak
Federal International Finance	tidak
FiberStar	tidak
Field Dimension Indonesia	tidak
Fimperkasa Utama	tidak
First Indo American Leasing	tidak
First Media	tidak
First Principle Systems	tidak
First State Investments Indonesia	tidak
Five Jack	tidak
FKS Multi Agro	tidak
Fore Coffee	tidak
Formosa Ingredient Factory	tidak
Fortune Indonesia	tidak
Fortune Mate Indonesia	tidak
Forza Land Indonesia	tidak
Foster Asset Management	tidak
FOTOHUIS "BRAGA" BANDOENG	tidak
Fourcolours Films	tidak
Freeport Indonesia	tidak
Frestea	tidak
Frisian Flag	tidak
Fuji Finance Indonesia	tidak
FWD Life Indonesia	tidak
Gading Development	tidak
Gajah Tunggal	ya
Galang Press	tidak
Galangan Kapal Madura	tidak
Galva Technologies	tidak
Gandum Mas	tidak
Garda Tujuh Buana	tidak
Gardens of the Sun	tidak
Garena	tidak
Garuda Indonesia	tidak
Garuda Maintenance Facility Aero Asia	tidak
Garuda Mataram Motor	tidak
Garuda Metalindo	tidak
Garudafood	tidak
Gaya Abadi Sempurna	tidak
Gema Grahasarana	tidak
Geoenergis (Indonesia)	tidak
Geoprima Solusi	tidak
Gihon Telekomunikasi Indonesia	tidak
Ginting Jaya Energi	tidak
Giti Tire	tidak
Glico Wings	tidak
Global Digital Niaga	tidak
Global Mediacom	tidak
Global Sukses Solusi	tidak
Global Teleshop	tidak
Golden Eagle Energy	tidak
Golden Energy Mines	tidak
Golden Flower	tidak
Golden Plantation	tidak
Goodyear Indonesia	tidak
Goplay	tidak
Gowa Makassar Tourism Development	tidak
Gozco Plantations	tidak
GP Records	tidak
Graha Andrasentra Propertindo	tidak
Graha Layar Prima	tidak
Grahaprima Suksesmandiri	tidak
Gramedia (toko buku)	tidak
Grand House Mulia	tidak
Grand Kartech	tidak
Gratia Husada Farma	tidak
Greenwood Sejahtera	tidak
Grow Investments Indonesia	tidak
Grup GoTo	tidak
Grup Jawa Pos	tidak
Grup Lippo	tidak
GTS Internasional	tidak
Guardian	tidak
Gudang Garam	tidak
Gudeg Yu Djum	tidak
Guna Timur Raya	tidak
Gunawan Dianjaya Steel	tidak
Gunawan Steel Group	tidak
Gunung Madu Plantations	tidak
Gunung Mas Grup	tidak
Gunung Raja Paksi	tidak
Gunung Sewu Kencana	tidak
Güntzel & Schumacher	tidak
H-Studio Bali	tidak
Habco Trans Maritima	tidak
Haga Bank	tidak
Haleyora Power	tidak
Haloni Jane	tidak
Hanhwa Life Insurance	tidak
Hanson International	tidak
Harapan Duta Pertiwi	tidak
Harita Group	tidak
Hartadinata Abadi	tidak
Hartono Raya Motor	tidak
Harum Energy	tidak
Hasnur Internasional Shipping	tidak
Hasnur Jaya Tambang	tidak
Hassana Boga Sejahtera	tidak
Hatten Bali	tidak
Hauraa	tidak
Hawai Group Malang	tidak
Hello health group	tidak
Henan Putihrai Asset Management	tidak
Hensel Davest Indonesia	tidak
Hero Supermarket Group	tidak
Hetzer Medical Indonesia	tidak
Hexindo Adiperkasa	tidak
HiBank	tidak
Hibrkraft Kreasi Indonesia	tidak
Hillcon	tidak
Himalaya Energi Perkasa	tidak
Hino Finance Indonesia	tidak
Hisana Fried Chicken	tidak
Hitmaker Studios	tidak
HK Metals Utama	tidak
HM Sampoerna	tidak
Hoffmen Cleanindo	tidak
HokBen	tidak
Hotel Fitra International	tidak
Hotel Mandarine Regency	tidak
Hotel Sahid Jaya International	tidak
HP Music: Records Label	tidak
HP Records	tidak
Humpuss Intermoda Transportasi	tidak
Hutama Karya	tidak
HW Group	tidak
Hypermart	tidak
I-League	tidak
IBEKA	tidak
iCherry	tidak
ICTSI JASA PRIMA	tidak
Idea Indonesia Akademi	tidak
IDN	tidak
Ifishdeco	tidak
IKI Shipyard	tidak
Imago Mulia Persada	tidak
IMMG	tidak
IMO Mobile Entertainment	tidak
Impack Pratama Industri	tidak
Imperial Healthtech	tidak
Inalum	tidak
Indah Kiat Pulp & Paper	tidak
Indah Prakasa Sentosa	tidak
Indal Aluminium Industry	tidak
Indika Energy	tidak
Indika Entertainment	tidak
Indika Pictures	tidak
Indo Acidatama	tidak
Indo Boga Sukses	tidak
Indo Komoditi Korpora	tidak
Indo Kordsa	tidak
Indo Oil Perkasa	tidak
Indo Premier Investment Management	tidak
Indo Pureco Pratama	tidak
Indo Semar Records	tidak
Indo Straits	tidak
Indo Tambangraya Megah	tidak
Indoasia Aset Manajemen	tidak
Indocement Tunggal Prakarsa	tidak
Indofarma	tidak
indofix	tidak
Indofood	tidak
Indofood (merek)	tidak
Indofood CBP	tidak
Indofood Fortuna Makmur	tidak
Indointernet	tidak
Indomaret Fresh	tidak
Indomobil Finance Indonesia	tidak
Indomobil Multi Jasa	tidak
Indomobil Sukses Internasional	tidak
Indonesia AirAsia	tidak
Indonesia Entertainmen Produksi	tidak
Indonesia Eximbank	tidak
Indonesia Fibreboard Industry	tidak
Indonesia Infrastructure Finance	tidak
Indonesia Kendaraan Terminal	tidak
Indonesia Marina Shipyard	tidak
Indonesia Pondasi Raya	tidak
Indonesia Prima Property	tidak
Indonesia-Coffee	tidak
IndonesiaJuara Trip	tidak
Indonesian Paradise Property	tidak
Indonesian Tobacco	tidak
Indopoly Swakarsa Industry	tidak
Indorama Corporation	tidak
Indorama Synthetics	tidak
Indoritel Makmur Internasional	tidak
Indosat Ooredoo Hutchison	tidak
Indospring	tidak
Indosterling Aset Manajemen	tidak
Indosterling Technomedia	tidak
Indosurya Asset Management	tidak
Industri dan Perdagangan Bintraco Dharma	tidak
Industri Kereta Api	tidak
Industri Telekomunikasi Indonesia	tidak
Informasi Teknologi Indonesia	tidak
InJourney	tidak
InJourney Destination Management	tidak
Inocycle Technology Group	tidak
Inovasi Parkir Mandiri	tidak
Insight Investments Management	tidak
Inspire Music	tidak
Intan Baruprana Finance	tidak
Intanwijaya Internasional	tidak
Integra Indocabinet	tidak
Inter-Delta	tidak
Intermedia Capital	tidak
Inti Agri Resources	tidak
Inti Bangun Sejahtera	tidak
Inti Solar	tidak
Intikeramik Alamasri Industri	tidak
Intiland Development	tidak
INTIME Technology	tidak
Intraco Penta	tidak
Intrafood	tidak
Invitee Site	tidak
Island Concepts Indonesia	tidak
Ismaya Group	tidak
Ispat Indo	tidak
Isra Presisi Indonesia	tidak
Istaka Karya	tidak
Itama Ranoraya	tidak
Itemku	tidak
J Resources Asia Pasifik	tidak
J.CO Donuts	tidak
JACCS Mitra Pinasthika Mustika Finance Indonesia	tidak
Jagarasa	tidak
Jakarta Industrial Estate Pulogadung	tidak
Jakarta International Container Terminal	tidak
Jakarta International Hotels & Development	tidak
Jakarta Kyoei Steel Works	tidak
Jakarta Lingkar Baratsatu	tidak
Jakarta Propertindo	tidak
Jakarta Setiabudi Internasional	tidak
Jamu Air Mancur	tidak
Jamu Jago	tidak
JAPFA Comfeed Indonesia	tidak
Jarvis Aset Manajemen	tidak
Jasa Armada Indonesia	tidak
Jasa Berdikari Logistics	tidak
Jasa Marga	tidak
Jasa Marine Indah	tidak
Jasa Tirta I	tidak
Jasa Tirta II	tidak
Jasnita Telekomindo	tidak
Jasuindo Tiga Perkasa	tidak
Java Musikindo	tidak
JAVARA	tidak
Jawa Pos	tidak
Jawa Timur Park Group	tidak
Jaya Agra Wattie	tidak
Jaya Agung	tidak
Jaya Bersama Indo	tidak
Jaya Konstruksi Manggala Pratama	tidak
Jaya Pari Steel Corp. Ltd.	tidak
Jaya Real Property	tidak
Jaya Sukses Makmur Sentosa	tidak
Jaya Swarasa Agung	tidak
Jaya Trishindo	tidak
Jayamas Medica Industri	tidak
Jembo Cable Company	tidak
Jhonlin Agro Raya	tidak
JNE	tidak
Jobubu Jarum Minahasa	tidak
JOWO LAND CONSTRUCTION	tidak
Jubelio	tidak
JWT Jakarta	tidak
K-Vision	tidak
K2K Production	tidak
Kabelindo Murni	tidak
Kageo Igar Jaya	tidak
KAI Bandara	tidak
KAI Commuter	tidak
Kalbe Farma	tidak
Kalbe Nutritionals	tidak
Kaldu Sari Nabati	tidak
Kalla Group	tidak
Kallista Alam	tidak
Kaltim Prima Coal	tidak
Kalyana Shira Films	tidak
Kandank Jurank Doank	tidak
Kantor Berita Antara	tidak
Kapuas Prima Coal	tidak
Karimun Anugrah Sejati	tidak
Karimun Marine Shipyard	tidak
Karisma (toko buku)	tidak
Karnos Film	tidak
Karwell Indonesia	tidak
Karya Bersama Anugerah	tidak
Karya Delka Maritim	tidak
Karyasindo Samudra Biru Shipyard	tidak
Kasera	tidak
Katingan Mentaya Project	tidak
Kawan Lama Sejahtera	tidak
Kawasan Industri Jababeka	tidak
Kawasan Industri Medan	tidak
Kayan Marine Shipyard	tidak
KB Bank	tidak
KB Finansia Multi Finance	tidak
Kebab Turki Baba Rafi	tidak
Kebanting!	tidak
Kedaung Indah Can	tidak
Kedawung Setia Industrial	tidak
Kedoya Adyaraya	tidak
Kencana Energi Lestari	tidak
Keramika Indonesia Assosiasi	tidak
Kereta Cepat Indonesia–China	tidak
Kertas Basuki Rachmat Indonesia	tidak
Kertas Leces	tidak
Kesmatex	tidak
Ketrosden Triasmitra	tidak
Kian-gwan Kongsi	tidak
Kidz Station	tidak
Kilat Bio	tidak
Kimia Farma	tidak
King Tire Indonesia	tidak
King Trading	tidak
Kino Indonesia	tidak
Kioson Komersial Indonesia	tidak
Kirana Megatara	tidak
KISI Asset Management	tidak
Klinko Karya Imaji	tidak
Kliring Berjangka Indonesia	tidak
KMI Cable And Wire	tidak
Kobexindo Tractors	tidak
Kokoh Inti Arebama	tidak
Komodo Foods	tidak
Komodo Luxury	tidak
Kompas Gramedia Group	tidak
Kompetisi Futsal Indonesia	tidak
Konimex	tidak
Kopertis Wilayah X	tidak
Kopi Kenangan	tidak
Kopiko	tidak
Kopontren Daarut Tauhiid	tidak
Korindo Group	tidak
Kota Satu Properti	tidak
KRA Group	tidak
Krakatau Shipyard	tidak
Krakatau Steel	tidak
Kreatif Media Karya	tidak
Kresna Asset Management	tidak
Kresna Graha Investama	tidak
Krida Jaringan Nusantara	tidak
Krom Bank	tidak
Kuku Bima Ener-G	tidak
Kumala Indonesia Shipyard	tidak
Kurniamitra Duta Sentosa	tidak
Kustodian Sentral Efek Indonesia	tidak
Kusuma Kemindo Sentosa	tidak
Ladangbaja Murni	tidak
Lamicitra Nusantara	tidak
Lancartama Sejati	tidak
Langgeng Makmur Industri	tidak
Lapindo International	tidak
Lautan Lestari Shipyard	tidak
Lautan Luas	tidak
Lautandhana Investment Management	tidak
Lavender Bina Cendikia	tidak
LCK Global Kedaton	tidak
Le Minerale	tidak
Leapfactor	tidak
Lemomo Indonesia	tidak
Len Industri	tidak
Leo Pictures	tidak
Libel Record	tidak
Liga Indonesia (perusahaan)	tidak
Lima Cahaya	tidak
Lima Dua Lima Tiga	tidak
Limas Indonesia Makmur	tidak
Lini Imaji Kreasi Ekosistem	tidak
Link Net	tidak
Lintas Kata	tidak
Lintasarta	tidak
Lion Hotel & Plaza	tidak
Lion Metal Works	tidak
Lion Parcel	tidak
Lionmesh Prima	tidak
Lippo Cikarang	tidak
Lippo General Insurance	tidak
Lippo Karawaci	tidak
Lippo Securities	tidak
Logindo Samudramakmur	tidak
Lontar Papyrus Pulp & Paper Industry	tidak
Lotte Chemical Titan Nusantara	tidak
Lucky Intercoco	tidak
Lunar Jaya Films	tidak
M Cash Integrasi	tidak
M&C Saatchi Performance	tidak
Madusari Murni Indah	tidak
Magna Investama Mandiri	tidak
Maha Properti Indonesia	tidak
Mahaka Media	tidak
Mahaka Radio Integra	tidak
Maheswara Musik Records	tidak
Mahkota Group	tidak
Mahkotajawa Kubah Indonesia	tidak
Maimaid	tidak
Majoris Asset Management	tidak
Maju Maritim Indonesia	tidak
Makin Group	tidak
Makmur Berkah Amanda	tidak
Malacca Trust Wuwungan Insurance	tidak
Malindo Feedmill	tidak
Maming Enam Sembilan Mineral	tidak
Manajemen Qolbu Corporation	tidak
Mandala Multifinance	tidak
Mandiri	ya
Mandiri Manajemen Investasi	tidak
Mandiri Tunas Finance	tidak
Mandom Indonesia	tidak
Mangrove Care Forum Bali	tidak
Mantappu Corp.	tidak
Manulife Aset Manajemen Indonesia	tidak
MAP Aktif Adiperkasa	tidak
MAP Boga Adiperkasa	tidak
Marcopolo Shipyard	tidak
Marga Abhinaya Abadi	tidak
Marga Lingkar Jakarta	tidak
Marimas	tidak
