word	freq	cap_ratio
ultra	341	0.663
first	340	0.656
trade	337	0.614
banking	336	0.461
industrial	333	0.673
with	332	0.295
class	330	0.509
cost	330	0.191
track	330	0.161
pink	329	0.258
engine	328	0.308
printer	328	0.177
retail	324	0.241
soft	324	0.235
learning	323	0.421
list	322	0.224
original	314	0.191
value	313	0.300
copy	310	0.142
derby	310	0.510
jelly	310	0.584
ounce	310	0.000
season	309	0.602
voucher	308	0.185
light	306	0.314
cross	304	0.533
chip	301	0.239
rebound	301	0.047
code	300	0.517
shield	300	0.407
study	300	0.450
venue	300	0.097
part	297	0.226
cloud	296	0.486
exchange	296	0.645
speaker	295	0.169
speed	295	0.346
official	294	0.633
stock	291	0.347
hardware	290	0.214
door	287	0.178
page	287	0.613
draft	281	0.164
cover	280	0.211
space	280	0.582
steel	280	0.693
error	278	0.097
money	278	0.259
hoax	273	0.147
return	273	0.278
investment	272	0.680
performance	272	0.324
player	272	0.261
holding	271	0.343
society	268	0.660
industry	267	0.356
supply	267	0.262
engineering	266	0.598
token	266	0.286
alien	265	0.509
base	264	0.205
coffee	264	0.633
leader	264	0.375
family	262	0.569
even	261	0.180
hard	261	0.345
slot	261	0.057
property	260	0.346
style	260	0.354
wireless	260	0.308
case	259	0.259
dress	258	0.205
hybrid	258	0.306
factor	257	0.311
simple	255	0.176
local	252	0.222
host	250	0.164
force	249	0.578
source	247	0.328
fast	246	0.577
fresh	246	0.220
thread	245	0.229
ratio	244	0.402
recovery	244	0.201
suspect	244	0.045
fund	243	0.683
quality	243	0.519
pizza	241	0.456
record	241	0.344
self	241	0.212
tracking	240	0.113
cream	239	0.435
traffic	239	0.293
governance	238	0.345
residence	237	0.557
scan	237	0.262
shop	237	0.414
entrepreneur	236	0.246
paper	236	0.352
reshuffle	234	0.120
notebook	232	0.172
reward	232	0.108
malware	230	0.104
reaction	229	0.415
pound	228	0.140
resistance	228	0.145
take	228	0.158
access	226	0.646
comeback	226	0.093
match	225	0.316
budget	224	0.138
jeans	224	0.080
like	224	0.473
sound	224	0.330
grade	223	0.202
content	222	0.306
display	222	0.329
policy	221	0.462
dual	220	0.355
field	220	0.455
illegal	219	0.046
income	219	0.119
disk	218	0.197
carry	216	0.676
country	216	0.620
shift	214	0.126
site	213	0.286
troy	213	0.254
agent	212	0.245
provider	212	0.208
screening	212	0.123
camera	211	0.474
finish	211	0.085
hacker	211	0.137
mood	210	0.067
beauty	209	0.670
drone	209	0.172
credit	208	0.486
orange	207	0.362
basic	205	0.483
caption	205	0.083
electronic	204	0.652
hosting	204	0.186
souvenir	204	0.157
building	203	0.389
private	203	0.310
moment	202	0.243
direct	201	0.453
client	199	0.176
gaming	199	0.286
pass	198	0.500
quick	198	0.520
shock	198	0.086
tweet	198	0.207
frame	197	0.137
rest	197	0.239
treatment	197	0.218
dance	196	0.449
coach	195	0.549
droplet	195	0.067
focus	195	0.451
position	194	0.149
anime	193	0.192
board	193	0.596
demand	192	0.146
entry	192	0.094
electric	190	0.653
memory	190	0.284
mouse	190	0.242
range	190	0.421
contact	189	0.275
accounting	188	0.585
browsing	188	0.261
voting	187	0.070
pole	186	0.134
remote	186	0.194
your	186	0.645
people	185	0.632
pool	185	0.373
boat	184	0.283
clean	184	0.321
laundry	183	0.235
maghrib	183	0.492
price	183	0.437
vehicle	183	0.470
voice	183	0.552
book	182	0.588
reply	182	0.445
screen	182	0.456
icon	181	0.298
interface	181	0.243
production	181	0.619
statement	181	0.149
furniture	180	0.261
knowledge	180	0.294
crash	178	0.657
runner	178	0.236
station	178	0.596
report	177	0.503
information	176	0.693
upgrade	176	0.159
interview	175	0.126
print	175	0.234
stay	175	0.291
risk	174	0.287
kick	173	0.347
proper	173	0.289
router	173	0.301
sporty	173	0.139
storage	173	0.249
girl	172	0.517
magic	172	0.634
pick	172	0.285
transport	172	0.436
maintenance	171	0.292
seafood	171	0.269
carport	170	0.053
counter	170	0.212
turbo	170	0.529
cell	169	0.314
influencer	169	0.136
leasing	169	0.124
caesar	168	0.393
ground	168	0.304
showroom	168	0.274
tourism	168	0.613
founder	167	0.689
guard	167	0.443
spam	167	0.365
clear	166	0.355
emergency	166	0.422
outdoor	166	0.169
photo	166	0.392
restaurant	166	0.590
booking	165	0.158
responsibility	165	0.661
grid	164	0.482
indoor	164	0.482
thermal	164	0.274
weekend	164	0.207
based	163	0.350
bike	163	0.607
joint	163	0.466
owner	163	0.436
traveler	163	0.282
mikir	162	0.043
consumer	161	0.553
engineer	161	0.478
gate	161	0.354
install	161	0.137
koko	161	0.646
merchant	161	0.137
window	160	0.275
dark	159	0.616
mind	159	0.528
yield	159	0.119
safe	158	0.348
date	157	0.204
hehe	156	0.167
raker	156	0.660
supplier	156	0.128
tools	156	0.340
break	155	0.161
chapter	155	0.581
sample	155	0.097
prank	154	0.104
scanner	154	0.240
upload	154	0.084
culture	153	0.503
exit	153	0.255
furnished	153	0.458
rescue	153	0.641
delivery	152	0.382
issue	152	0.138
move	152	0.283
flow	151	0.212
default	150	0.087
chart	149	0.262
finishing	149	0.081
place	149	0.664
centimeter	148	0.020
smelter	148	0.081
walk	148	0.453
wedding	148	0.426
franchise	147	0.204
loan	147	0.381
programmer	147	0.320
sustainable	147	0.585
student	145	0.607
touring	145	0.400
bullish	144	0.049
corolla	144	0.688
giant	144	0.549
leadership	144	0.396
tool	144	0.236
banner	143	0.217
rice	143	0.601
booth	142	0.261
cake	142	0.296
negative	142	0.042
shopping	142	0.472
side	142	0.352
bass	141	0.184
outlook	141	0.525
reality	141	0.255
roll	141	0.348
wide	141	0.504
trader	139	0.144
trust	139	0.612
block	138	0.319
infotainment	138	0.406
payment	138	0.406
gathering	137	0.445
party	137	0.591
technical	137	0.679
pandemic	136	0.125
seat	136	0.301
signal	136	0.537
assessment	135	0.252
change	135	0.511
effect	135	0.200
farm	135	0.526
justice	135	0.511
load	135	0.081
boss	134	0.507
outfit	134	0.149
partnership	134	0.687
sector	134	0.090
solution	134	0.545
underpass	134	0.306
crew	133	0.398
debt	133	0.278
purposive	132	0.114
short	132	0.326
touch	132	0.598
trial	132	0.152
version	132	0.462
buyback	131	0.084
device	131	0.214
interest	131	0.183
police	131	0.641
ready	131	0.221
tenant	131	0.076
government	130	0.623
shelter	130	0.254
suite	130	0.654
background	129	0.124
chatting	129	0.085
graduate	129	0.558
professor	129	0.574
salad	129	0.140
feed	128	0.305
middle	128	0.352
portable	128	0.242
tagged	128	0.531
traveling	128	0.070
analysis	127	0.606
category	127	0.110
court	127	0.551
syndrome	127	0.591
template	127	0.220
agreement	126	0.675
bandwidth	126	0.135
hook	126	0.238
organizer	126	0.341
skin	126	0.429
wave	126	0.635
battle	125	0.656
count	125	0.176
handset	125	0.104
mendownload	125	0.008
right	125	0.368
script	125	0.256
strategy	125	0.592
bullying	124	0.161
concern	124	0.089
guide	124	0.339
mess	124	0.427
response	124	0.677
accord	122	0.680
kitchen	122	0.320
stylish	122	0.049
growth	121	0.479
hattrick	121	0.083
plant	121	0.504
profile	121	0.331
regular	121	0.074
snack	121	0.231
subtitle	121	0.388
talent	120	0.433
balance	119	0.294
extra	119	0.269
forward	119	0.378
name	119	0.202
rapper	119	0.235
slide	119	0.160
intelligence	118	0.636
message	118	0.356
reseller	118	0.169
spoiler	118	0.220
text	118	0.246
trainer	118	0.254
loss	117	0.188
runway	117	0.145
save	117	0.573
asem	116	0.491
comment	116	0.293
guest	116	0.483
library	116	0.578
manga	116	0.233
massif	116	0.009
shooting	116	0.216
split	116	0.440
switch	116	0.414
vihara	116	0.526
wine	116	0.181
deal	115	0.330
fitness	115	0.287
injury	115	0.026
under	115	0.374
ball	114	0.500
carrier	114	0.246
cleaning	114	0.167
crime	114	0.465
crude	114	0.333
designer	114	0.430
fight	114	0.623
reading	114	0.465
casing	113	0.221
experience	113	0.540
flight	113	0.372
protocol	113	0.442
steak	113	0.310
variable	113	0.265
address	112	0.277
after	112	0.509
civil	112	0.446
ebook	112	0.170
lancer	112	0.571
machine	112	0.482
resource	112	0.554
visit	112	0.491
dashboard	111	0.153
landing	111	0.450
lifting	111	0.063
lounge	111	0.541
playboy	111	0.685
political	111	0.523
sheet	111	0.180
number	110	0.673
pack	110	0.282
steering	110	0.318
holiday	109	0.514
lock	109	0.257
mixed	109	0.239
small	109	0.523
spare	109	0.138
processor	108	0.204
strain	108	0.046
utility	108	0.315
benefit	107	0.131
fuel	107	0.327
hair	107	0.355
independent	107	0.579
letter	107	0.486
micro	107	0.486
printing	107	0.393
sense	107	0.271
truck	107	0.280
gross	106	0.377
instant	106	0.217
passion	106	0.160
playmaker	106	0.104
swap	106	0.217
assistant	105	0.619
ballroom	105	0.600
cancel	105	0.600
custom	105	0.343
drummer	105	0.200
judicial	105	0.162
plak	105	0.038
sunset	105	0.467
wallpaper	105	0.162
button	104	0.654
buyer	104	0.067
mercy	104	0.625
teaser	104	0.183
trail	104	0.567
winner	104	0.548
boot	103	0.204
crisis	103	0.583
deadline	103	0.233
nash	103	0.301
progress	103	0.223
restart	103	0.175
stainless	103	0.146
initial	102	0.373
advertising	101	0.475
command	101	0.653
enjoy	101	0.129
feature	101	0.277
interpersonal	101	0.099
layout	101	0.168
living	101	0.406
unlimited	101	0.446
ambassador	100	0.410
bearish	100	0.040
carbon	100	0.600
foreign	100	0.540
friendly	100	0.450
incumbent	100	0.020
rally	100	0.430
role	100	0.150
topic	100	0.090
belt	99	0.232
early	99	0.424
gear	99	0.455
logging	99	0.071
notice	99	0.202
relationship	99	0.424
stage	99	0.444
acid	98	0.255
away	98	0.224
backup	98	0.173
equity	98	0.449
process	98	0.398
tagline	98	0.112
cashback	97	0.186
deep	97	0.598
diva	97	0.608
figure	97	0.082
hearing	97	0.186
promotion	97	0.670
release	97	0.268
spin	97	0.670
starting	97	0.134
active	96	0.677
chicken	96	0.604
kernel	96	0.312
survive	96	0.010
table	96	0.333
career	95	0.695
cargo	95	0.432
hatchback	95	0.295
triple	95	0.547
alkes	94	0.245
charger	94	0.266
fishing	94	0.266
gateway	94	0.372
instrument	94	0.160
lost	94	0.660
shower	94	0.138
apartment	93	0.409
boarding	93	0.194
charge	93	0.301
mass	93	0.473
mining	93	0.559
nation	93	0.667
rookie	93	0.366
application	92	0.598
campaign	92	0.315
leading	92	0.163
score	92	0.293
holder	91	0.099
opening	91	0.341
piece	91	0.681
sweet	91	0.473
batch	90	0.311
compact	90	0.456
flagship	90	0.056
follow	90	0.189
request	90	0.200
understanding	90	0.689
boulevard	89	0.607
equipment	89	0.640
fixed	89	0.157
netbook	89	0.202
running	89	0.494
sell	89	0.169
true	89	0.674
antum	88	0.227
dinner	88	0.466
diving	88	0.216
factory	88	0.693
freezer	88	0.068
trafficking	88	0.136
quad	87	0.552
trojan	87	0.333
battery	86	0.419
liquid	86	0.477
meng	86	0.581
advance	85	0.612
della	85	0.612
thanks	85	0.506
vote	85	0.247
what	85	0.600
zombie	85	0.282
economy	84	0.357
entrepreneurship	84	0.369
greenback	84	0.167
language	84	0.655
mainstream	84	0.036
only	84	0.488
outer	84	0.333
sandwich	84	0.405
trainee	84	0.429
treble	84	0.024
about	83	0.578
bubble	83	0.361
color	83	0.590
cultural	83	0.434
didownload	83	0.000
toll	83	0.265
alternative	82	0.159
chemistry	82	0.341
hokum	82	0.024
hole	82	0.232
merchandise	82	0.122
refund	82	0.085
treasury	82	0.683
artificial	81	0.432
basement	81	0.074
course	81	0.420
inch	81	0.123
redeem	81	0.370
refresh	81	0.136
strawberry	81	0.296
task	81	0.494
theme	81	0.346
grey	80	0.675
hormonal	80	0.000
lobby	80	0.263
lotion	80	0.250
proxy	80	0.250
root	80	0.150
soundtrack	80	0.087
that	80	0.613
welcome	80	0.362
font	79	0.165
gazebo	79	0.152
other	79	0.278
practice	79	0.278
revenue	79	0.089
saving	79	0.430
sweeping	79	0.114
zinc	79	0.380
awareness	78	0.218
briefing	78	0.205
cache	78	0.205
cool	78	0.308
discussion	78	0.577
idea	78	0.397
motherboard	78	0.167
smash	78	0.692
surveyor	78	0.423
topping	78	0.051
crane	77	0.273
follower	77	0.078
mask	77	0.442
cable	76	0.474
collector	76	0.197
easy	76	0.474
paving	76	0.053
pump	76	0.382
puzzle	76	0.184
signature	76	0.461
speaking	76	0.355
stem	76	0.434
think	76	0.487
warming	76	0.184
almond	75	0.173
attack	75	0.400
duty	75	0.653
expert	75	0.467
hotline	75	0.147
ladies	75	0.653
protection	75	0.640
speedboat	75	0.133
stream	75	0.560
survival	75	0.293
threshold	75	0.227
barrel	74	0.027
broken	74	0.635
capacity	74	0.257
exclusive	74	0.297
haven	74	0.176
join	74	0.243
organic	74	0.365
reader	74	0.365
reverse	74	0.662
charging	73	0.137
disc	73	0.479
lead	73	0.342
maba	73	0.329
major	73	0.699
noise	73	0.247
prize	73	0.452
representative	73	0.589
teaching	73	0.507
close	72	0.444
franc	72	0.167
immunity	72	0.153
outstanding	72	0.250
sneakers	72	0.111
title	72	0.444
artist	71	0.549
barrier	71	0.225
blind	71	0.507
chemical	71	0.648
cold	71	0.338
fish	71	0.648
frozen	71	0.549
multiple	71	0.380
paste	71	0.113
peer	71	0.296
recall	71	0.254
recruitment	71	0.324
thru	71	0.211
construction	70	0.614
deluxe	70	0.343
domestic	70	0.486
environment	70	0.643
generation	70	0.671
herd	70	0.200
labor	70	0.457
luxury	70	0.600
milk	70	0.486
mint	70	0.414
node	70	0.186
panic	70	0.143
pressure	70	0.314
rubber	70	0.357
scene	70	0.271
scientific	70	0.557
sorry	70	0.614
stochastic	70	0.471
taxi	70	0.414
twin	70	0.543
wild	70	0.614
working	70	0.471
booster	69	0.493
contest	69	0.667
controller	69	0.377
desk	69	0.507
goods	69	0.217
peak	69	0.406
ping	69	0.667
standing	69	0.217
tree	69	0.652
twit	69	0.246
very	69	0.420
animal	68	0.588
consultant	68	0.588
headline	68	0.412
hobby	68	0.206
moving	68	0.471
outbound	68	0.265
plastic	68	0.294
regency	68	0.441
slow	68	0.338
stake	68	0.029
steam	68	0.603
theory	68	0.618
climate	67	0.672
excellence	67	0.612
facility	67	0.597
feeling	67	0.224
hamstring	67	0.060
logistic	67	0.433
prototype	67	0.209
size	67	0.134
spray	67	0.164
swing	67	0.254
anniversary	66	0.561
bakery	66	0.561
buffet	66	0.485
casual	66	0.106
container	66	0.394
escudo	66	0.576
fighter	66	0.530
freelance	66	0.106
heater	66	0.136
impact	66	0.394
relative	66	0.030
rule	66	0.258
tone	66	0.273
bombay	65	0.246
citizen	65	0.615
delay	65	0.108
doorprize	65	0.031
dynamic	65	0.692
electoral	65	0.354
have	65	0.292
look	65	0.415
multiplier	65	0.062
outbond	65	0.138
rank	65	0.477
sign	65	0.385
spyware	65	0.015
stick	65	0.338
valve	65	0.338
vocal	65	0.354
wahabi	65	0.631
baking	64	0.250
bottom	64	0.328
collection	64	0.609
cottage	64	0.594
critical	64	0.344
dating	64	0.125
earphone	64	0.109
fraud	64	0.266
furnish	64	0.250
heavy	64	0.547
juice	64	0.391
please	64	0.500
positivity	64	0.203
ride	64	0.562
roller	64	0.156
section	64	0.438
surprise	64	0.188
upper	64	0.516
bully	63	0.127
common	63	0.365
concept	63	0.603
dump	63	0.127
eucalyptus	63	0.286
facial	63	0.222
injection	63	0.397
nugget	63	0.222
object	63	0.381
screenshot	63	0.175
sleep	63	0.508
wheel	63	0.317
activity	62	0.468
external	62	0.565
feedback	62	0.097
junto	62	0.129
procedure	62	0.452
purpose	62	0.419
quantum	62	0.597
sexy	62	0.258
shot	62	0.323
shuttle	62	0.210
wealth	62	0.661
aussie	61	0.639
bold	61	0.443
brake	61	0.262
charity	61	0.574
chloroquine	61	0.377
graphic	61	0.557
handle	61	0.049
headset	61	0.164
heels	61	0.049
opinion	61	0.311
rail	61	0.656
distance	60	0.283
earning	60	0.283
geothermal	60	0.350
mean	60	0.300
naker	60	0.283
package	60	0.600
session	60	0.450
sticker	60	0.133
buffer	59	0.220
conditioner	59	0.390
cuba	59	0.424
diary	59	0.610
drawing	59	0.390
ending	59	0.254
endorse	59	0.119
feat	59	0.034
hammer	59	0.441
headphone	59	0.169
mansion	59	0.627
mengupload	59	0.017
pattern	59	0.339
positive	59	0.220
punishment	59	0.085
timing	59	0.271
venture	59	0.407
better	58	0.621
breakfast	58	0.448
cleaner	58	0.414
cookies	58	0.224
crossing	58	0.155
current	58	0.362
cycle	58	0.603
handling	58	0.310
method	58	0.328
paddock	58	0.328
taking	58	0.069
aquarium	57	0.211
assesment	57	0.351
character	57	0.316
closed	57	0.386
fusion	57	0.632
indicator	57	0.316
lithium	57	0.316
parcel	57	0.421
skim	57	0.175
straight	57	0.175
thawaf	57	0.070
blank	56	0.196
daddy	56	0.554
driving	56	0.429
firewall	56	0.214
function	56	0.393
inventory	56	0.411
landscape	56	0.232
offering	56	0.411
powder	56	0.250
probable	56	0.089
relay	56	0.304
round	56	0.661
routing	56	0.179
sectional	56	0.054
vertical	56	0.250
wait	56	0.107
xanthone	56	0.429
degree	55	0.582
extraordinary	55	0.182
fuzzy	55	0.382
infra	55	0.309
packing	55	0.164
thinking	55	0.145
thriller	55	0.109
audience	54	0.111
backlink	54	0.074
bypass	54	0.444
chocolate	54	0.630
connect	54	0.611
cotton	54	0.296
extension	54	0.278
inner	54	0.204
keep	54	0.593
patch	54	0.370
politics	54	0.315
silent	54	0.370
teller	54	0.370
array	53	0.396
assurance	53	0.528
broadcast	53	0.283
coaching	53	0.283
essential	53	0.415
maker	53	0.377
matte	53	0.472
option	53	0.264
sachet	53	0.019
sister	53	0.472
trophy	53	0.491
urgent	53	0.057
airline	52	0.692
angle	52	0.192
backbone	52	0.288
birthday	52	0.635
capture	52	0.269
commerce	52	0.692
continue	52	0.692
discount	52	0.135
drag	52	0.327
electrical	52	0.635
excellent	52	0.481
gift	52	0.500
hygiene	52	0.423
lamp	52	0.250
massage	52	0.308
month	52	0.327
netter	52	0.365
shutdown	52	0.135
therapy	52	0.442
thermo	52	0.269
timeline	52	0.346
wash	52	0.250
approach	51	0.255
certificate	51	0.686
distribution	51	0.647
diupload	51	0.000
fetish	51	0.353
gorilla	51	0.608
here	51	0.510
identity	51	0.647
keynote	51	0.333
mill	51	0.647
need	51	0.431
opportunity	51	0.314
portfolio	51	0.235
premiere	51	0.647
shadow	51	0.588
strong	51	0.510
sweater	51	0.098
boots	50	0.140
contract	50	0.540
deck	50	0.160
father	50	0.580
hadith	50	0.220
help	50	0.620
know	50	0.440
microwave	50	0.180
operational	50	0.520
optical	50	0.360
path	50	0.500
quest	50	0.600
silicon	50	0.680
speech	50	0.380
stir	50	0.040
surveillance	50	0.400
ultrabook	50	0.480
amplifier	49	0.184
boba	49	0.449
border	49	0.429
branded	49	0.163
breaker	49	0.429
connection	49	0.510
converter	49	0.245
coral	49	0.673
creator	49	0.367
dessert	49	0.245
fine	49	0.490
floating	49	0.306
floor	49	0.490
fully	49	0.184
going	49	0.286
insight	49	0.531
jacket	49	0.245
primary	49	0.551
success	49	0.571
toner	49	0.388
trotol	49	0.122
underground	49	0.347
apply	48	0.500
cheese	48	0.292
crossover	48	0.312
depth	48	0.292
element	48	0.583
facebooknya	48	0.604
fashionable	48	0.042
header	48	0.146
idle	48	0.062
improvement	48	0.333
investigation	48	0.625
landmark	48	0.375
leave	48	0.667
purchase	48	0.417
related	48	0.667
seal	48	0.438
sniper	48	0.458
teatrikal	48	0.062
turn	48	0.458
visitor	48	0.292
worm	48	0.333
years	48	0.625
acute	47	0.681
boom	47	0.489
build	47	0.426
charter	47	0.383
comfort	47	0.489
costumer	47	0.298
enter	47	0.574
farming	47	0.191
fever	47	0.660
jump	47	0.511
perfect	47	0.596
peso	47	0.277
scorer	47	0.064
species	47	0.213
symbol	47	0.106
wisdom	47	0.255
assistance	46	0.522
export	46	0.565
feet	46	0.174
knock	46	0.457
leopard	46	0.696
pashmina	46	0.065
principal	46	0.435
repair	46	0.391
showcase	46	0.565
splash	46	0.696
swimming	46	0.348
vintage	46	0.087
warehouse	46	0.348
waste	46	0.326
added	45	0.422
analyst	45	0.622
baker	45	0.667
beyond	45	0.689
brain	45	0.667
chamber	45	0.644
clock	45	0.178
craft	45	0.644
crop	45	0.200
directory	45	0.422
drink	45	0.222
fruit	45	0.622
giornata	45	0.000
hamper	45	0.022
junk	45	0.156
leaflet	45	0.156
logic	45	0.378
mutual	45	0.378
photography	45	0.444
refinery	45	0.556
string	45	0.267
than	45	0.600
timer	45	0.156
tissue	45	0.222
wiper	45	0.067
achievement	44	0.659
attitude	44	0.273
bath	44	0.455
clinical	44	0.682
coating	44	0.205
coverage	44	0.295
flag	44	0.614
flare	44	0.273
frequency	44	0.545
give	44	0.591
hidden	44	0.386
intensive	44	0.523
killer	44	0.364
legislative	44	0.045
leverage	44	0.182
loop	44	0.455
olive	44	0.636
patrol	44	0.659
procurement	44	0.477
quiz	44	0.523
realtime	44	0.114
riyal	44	0.341
scanning	44	0.068
subscriber	44	0.091
transmission	44	0.432
backpacker	43	0.186
booting	43	0.023
brother	43	0.628
buzzer	43	0.116
changer	43	0.302
chaos	43	0.186
classroom	43	0.698
clip	43	0.163
coordinator	43	0.488
dunk	43	0.256
echo	43	0.605
enforcement	43	0.395
hospitality	43	0.535
ijma	43	0.163
magnetic	43	0.488
overall	43	0.326
projector	43	0.535
publisher	43	0.349
royale	43	0.581
schedule	43	0.209
tier	43	0.163
treadmill	43	0.140
tuberculosis	43	0.302
unsure	43	0.023
adware	42	0.024
apartement	42	0.500
cabin	42	0.333
cobra	42	0.690
cooker	42	0.286
cooling	42	0.333
couple	42	0.286
foam	42	0.214
hamster	42	0.190
intake	42	0.167
introvert	42	0.119
least	42	0.333
overload	42	0.000
perform	42	0.119
politic	42	0.071
quote	42	0.286
rent	42	0.429
taft	42	0.595
triangle	42	0.476
bamboo	41	0.488
beef	41	0.585
beepdo	41	0.659
criminal	41	0.610
decision	41	0.366
groundbreaking	41	0.244
inflow	41	0.024
infrared	41	0.293
maritime	41	0.634
mixer	41	0.244
offshore	41	0.610
packaging	41	0.317
registry	41	0.463
stang	41	0.049
submission	41	0.561
supranatural	41	0.098
thank	41	0.659
wire	41	0.463
candlestick	40	0.300
conflict	40	0.225
doing	40	0.475
firmware	40	0.100
floral	40	0.050
horror	40	0.125
lighting	40	0.375
listening	40	0.275
mile	40	0.600
payroll	40	0.325
printable	40	0.000
recording	40	0.250
reviewer	40	0.325
specialist	40	0.575
sunrise	40	0.500
teacher	40	0.675
tunnel	40	0.375
vertigo	40	0.200
writing	40	0.575
before	39	0.487
billing	39	0.205
blast	39	0.385
boomerang	39	0.564
candle	39	0.205
chic	39	0.154
clan	39	0.103
cliff	39	0.692
complex	39	0.692
damage	39	0.333
diagnostic	39	0.487
founding	39	0.231
insert	39	0.641
multiyears	39	0.077
outflow	39	0.026
pickup	39	0.179
quota	39	0.256
realitanya	39	0.256
scrub	39	0.154
shampoo	39	0.077
spike	39	0.513
tulip	39	0.641
absolute	38	0.368
being	38	0.395
bench	38	0.053
bidding	38	0.105
disclaimer	38	0.395
document	38	0.500
friend	38	0.579
homeschooling	38	0.342
matching	38	0.158
monorail	38	0.316
origin	38	0.632
phablet	38	0.237
query	38	0.132
stadia	38	0.579
taro	38	0.605
uteri	38	0.026
vacuum	38	0.395
writer	38	0.474
alloy	37	0.135
aware	37	0.054
baseball	37	0.189
butter	37	0.243
catwalk	37	0.162
ceremony	37	0.378
create	37	0.622
currency	37	0.324
exterior	37	0.081
fingerprint	37	0.351
ganeshaspeaks	37	0.568
healthy	37	0.676
hormone	37	0.216
launch	37	0.432
lawyer	37	0.297
mechanical	37	0.568
outcome	37	0.108
pocket	37	0.459
powerful	37	0.054
presidential	37	0.432
quarter	37	0.297
scale	37	0.405
septic	37	0.108
spider	37	0.595
starlet	37	0.541
strength	37	0.216
accident	36	0.472
anchor	36	0.222
behavior	36	0.278
departement	36	0.694
dexamethasone	36	0.472
feel	36	0.389
fullback	36	0.111
grille	36	0.222
guild	36	0.556
hack	36	0.139
hacking	36	0.194
humanity	36	0.583
large	36	0.667
lower	36	0.528
multiply	36	0.583
nibbana	36	0.694
obligation	36	0.444
pancake	36	0.333
parking	36	0.444
pile	36	0.139
poor	36	0.472
rear	36	0.472
scientist	36	0.611
shoot	36	0.222
sponsorship	36	0.194
survivor	36	0.417
traditional	36	0.500
whole	36	0.139
accent	35	0.657
affair	35	0.600
baht	35	0.171
blur	35	0.371
cast	35	0.314
comedy	35	0.486
draw	35	0.400
endorsement	35	0.000
exercise	35	0.343
favorite	35	0.457
firm	35	0.371
grill	35	0.343
inverter	35	0.229
loyalty	35	0.514
metallic	35	0.600
module	35	0.486
offset	35	0.400
parliamentary	35	0.257
popcorn	35	0.200
portrait	35	0.543
priority	35	0.543
reduction	35	0.514
reset	35	0.143
roaming	35	0.200
ship	35	0.514
spread	35	0.229
structural	35	0.343
tarot	35	0.286
volunteer	35	0.314
wholesale	35	0.486
actor	34	0.382
alcohol	34	0.147
always	34	0.588
