model_id,jalan,lema,jawaban_model,kunci_hadir
gpt-5.6-luna,1,Inggil,"Inggil berarti tinggi atau luhur; dalam unggah-ungguh Jawa, dapat merujuk pada tingkat bahasa yang halus atau hormat.",1
gpt-5.6-luna,1,Isuk,"“Isuk” berarti “pagi” atau “besok” dalam bahasa Indonesia, tergantung konteks.",1
gpt-5.6-luna,1,Jalaran,“Jalaran” berarti “karena” atau “disebabkan oleh.”,1
gpt-5.6-luna,1,Janganan,“Janganan” berarti sayuran atau masakan berkuah dalam bahasa Indonesia.,1
gpt-5.6-luna,1,Jeblos,"Jeblos berarti masuk atau jatuh ke dalam lubang; secara kiasan, dapat berarti masuk penjara.",1
gpt-5.6-luna,1,Jeglongan,"“Jeglongan” berarti lubang atau cekungan, biasanya pada permukaan jalan.",1
gpt-5.6-luna,1,Kae,“Kae” berarti “itu”.,1
gpt-5.6-luna,1,Kajeng,“Kajeng” berarti **kayu**.,1
gpt-5.6-luna,1,Kawulo,"Kawulo berarti “saya” atau “rakyat/hamba,” tergantung konteks penggunaannya.",1
gpt-5.6-luna,1,Kaya dene,“Kaya dene” berarti “seperti halnya” atau “sebagaimana”.,1
gpt-5.6-luna,1,Kebluk,“Kebluk” berarti tidur sangat nyenyak atau sulit dibangunkan.,1
gpt-5.6-luna,1,Keluk,“Keluk” berarti **asap**.,1
gpt-5.6-luna,1,Kepethuk,“Kepethuk” berarti “bertemu” atau “berjumpa.”,1
gpt-5.6-luna,1,Keplongor,“Keplongor” berarti bengong atau ternganga karena kaget.,0
gpt-5.6-luna,1,Kiwa,Kiwa berarti kiri.,1
gpt-5.6-luna,1,Koen,"“Koen” berarti “kamu” atau “Anda” dalam bahasa Indonesia, biasanya digunakan dalam ragam akrab atau kasar.",1
gpt-5.6-luna,1,Kowe,“Kowe” berarti “kamu” dalam bahasa Indonesia.,1
gpt-5.6-luna,1,Kula,"""Kula"" berarti ""saya"" atau ""aku"" dalam bahasa Indonesia.",1
gpt-5.6-luna,1,Kulon,Kulon berarti barat.,1
gpt-5.6-luna,1,Kupat,"Kupat berarti ketupat, yaitu makanan dari beras yang dimasak dalam anyaman janur.",1
gpt-5.6-luna,1,Lanang,Lanang berarti laki-laki atau pria.,1
gpt-5.6-luna,1,lhais,“Lhais” berarti “loh” atau “lah” sebagai ungkapan heran atau terkejut.,0
gpt-5.6-luna,1,Likur,"Likur berarti bilangan dua puluhan, terutama angka 21–29 dalam penamaan angka Jawa.",1
gpt-5.6-luna,1,Londo ireng,"“Londo ireng” berarti orang asing berkulit hitam, biasanya merujuk pada orang Afrika.",0
gpt-5.6-luna,1,Luwes,"Luwes berarti fleksibel, mudah menyesuaikan diri, atau tidak kaku.",1
gpt-5.6-luna,1,Mbanyol,“Mbanyol” berarti bercanda atau melucu.,1
gpt-5.6-luna,1,Mbeling,"Mbeling berarti nakal, bandel, atau sulit diatur.",1
gpt-5.6-luna,1,mbesengut,Mbesengut berarti cemberut atau bermuka masam.,1
gpt-5.6-luna,1,Mbok,“Mbok” berarti “ibu” atau panggilan untuk perempuan yang lebih tua.,1
gpt-5.6-luna,1,Mboten,“Mboten” berarti “tidak” atau “bukan” dalam bahasa Indonesia.,1
gpt-5.6-luna,1,Meh,“Meh” berarti “akan” atau “hendak.”,0
gpt-5.6-luna,1,Mekaten,“Mekaten” berarti “demikian” atau “begitulah.”,1
gpt-5.6-luna,1,Mendoan,Mendoan berarti tempe yang digoreng setengah matang dengan balutan tepung.,1
gpt-5.6-luna,1,Meneh,“Meneh” berarti “lagi” atau “kembali”.,1
gpt-5.6-luna,1,Menungso,Menungso berarti **manusia**.,1
gpt-5.6-luna,1,Mrene,Mrene artinya “ke sini” atau “kemari.”,1
gpt-5.6-luna,1,Mripate,"""Mripate"" berarti ""matanya.""",1
gpt-5.6-luna,1,Muwah-muwuh,“Muwah-muwuh” berarti menambah-nambahi atau berlebihan.,1
gpt-5.6-luna,1,Namung,Namung berarti “hanya” atau “cuma”.,1
gpt-5.6-luna,1,Nanging,“Nanging” berarti “tetapi” atau “namun”.,1
gpt-5.6-luna,1,Ndrawasi,“Ndrawasi” berarti membahayakan atau mengancam.,1
gpt-5.6-luna,1,Nduwur,“Nduwur” berarti “di atas” atau “bagian atas.”,1
gpt-5.6-luna,1,Nedha,“Nedha” berarti “makan” (bahasa Jawa krama).,1
gpt-5.6-luna,1,Ngarit,Ngarit berarti memotong rumput atau mencari rumput untuk pakan ternak.,1
gpt-5.6-luna,1,Ngebaki,“Ngebaki” berarti memenuhi atau mengisi hingga penuh.,1
gpt-5.6-luna,1,Ngecembeng,“Ngecembeng” berarti mudah atau suka menangis.,0
gpt-5.6-luna,1,Ngelih,“Ngelih” berarti lapar.,1
gpt-5.6-luna,1,nggapleki,“Nggapleki” berarti menyebalkan atau menjengkelkan.,1
gpt-5.6-luna,1,Nggawe,Nggawe berarti **membuat** atau **mengerjakan**.,1
gpt-5.6-luna,1,nggeh,“Nggeh” berarti “iya” atau “baik” sebagai ungkapan sopan dalam bahasa Jawa.,1
gpt-5.6-luna,1,Nggoser,“Nggoser” berarti menggeser atau memindahkan sesuatu dengan cara menyeret.,0
gpt-5.6-luna,1,Nggugah,“Nggugah” berarti membangunkan atau menggugah.,1
gpt-5.6-luna,1,Ngono,“Ngono” berarti “begitu” atau “demikian.”,1
gpt-5.6-luna,1,Niku,“Niku” berarti “itu” atau “tersebut” dalam bahasa Indonesia.,1
gpt-5.6-luna,1,Ning,"“Ning” berarti “di” atau “pada” dalam bahasa Indonesia, tergantung konteks.",0
gpt-5.6-luna,1,Ningali,"""Ningali"" berarti **melihat**.",1
gpt-5.6-luna,1,Njero,“Njero” berarti “dalam” atau “bagian dalam.”,1
gpt-5.6-luna,1,Nrimo,Nrimo berarti menerima keadaan dengan ikhlas dan lapang dada.,1
gpt-5.6-luna,1,Nyambut,"“Nyambut” berarti bekerja, biasanya dalam frasa “nyambut gawe”.",1
gpt-5.6-luna,1,Nyandhak,“Nyandhak” berarti memegang atau menangkap.,1
gpt-5.6-luna,1,Og,“Og” berarti “tidak” atau “bukan.”,0
gpt-5.6-luna,1,Padha,"“Padha” berarti “sama” atau “bersama”, tergantung konteks.",1
gpt-5.6-luna,1,Pancen,"""Pancen"" berarti ""memang"" atau ""sungguh.""",1
gpt-5.6-luna,1,Panggah,"“Panggah” berarti tetap, kukuh, atau tidak berubah.",1
gpt-5.6-luna,1,Panjenengan,“Panjenengan” berarti “Anda” atau “kamu” dalam bentuk sopan.,1
gpt-5.6-luna,1,Pedhot,“Pedhot” berarti “putus” atau “terputus.”,1
gpt-5.6-luna,1,Pewe,“Pewe” berarti nyaman atau enak ditempati.,1
gpt-5.6-luna,1,Pindho,"""Pindho"" berarti ""kedua"" atau ""yang kedua"".",1
gpt-5.6-luna,1,Pirantos,Pirantos berarti **alat atau perkakas**.,1
gpt-5.6-luna,1,Pitakon,Pitakon berarti **pertanyaan**.,1
gpt-5.6-luna,1,Piyambak,“Piyambak” berarti “sendiri” atau “diri sendiri.”,1
gpt-5.6-luna,1,Purun,“Purun” berarti **mau atau bersedia**.,1
gpt-5.6-luna,1,Reksa,"“Reksa” berarti menjaga, merawat, atau memelihara.",1
gpt-5.6-luna,1,Rene,“Rene” berarti “sini” dalam bahasa Indonesia.,0
gpt-5.6-luna,1,Riyoyo,“Riyoyo” berarti hari raya atau perayaan dalam bahasa Indonesia.,1
gpt-5.6-luna,1,Rontek,Rontek berarti umbul-umbul atau bendera hias.,1
gpt-5.6-luna,1,Sae,“Sae” berarti “baik” atau “bagus.”,1
gpt-5.6-luna,1,Saged,Saged berarti **bisa** atau **dapat**.,1
gpt-5.6-luna,1,Sagedipun,“Sagedipun” berarti “sebisa mungkin” atau “semampunya.”,1
gpt-5.6-luna,1,Sampun,"""Sampun"" berarti ""sudah"" atau ""telah.""",1
gpt-5.6-luna,1,Sanadyan,“Sanadyan” berarti “meskipun” atau “walaupun”.,1
gpt-5.6-luna,1,Seje,“Seje” berarti “berbeda” atau “lain.”,1
gpt-5.6-luna,1,Senep,Senep berarti hati atau batin.,0
gpt-5.6-luna,1,Sewelas,Sewelas berarti sebelas.,1
gpt-5.6-luna,1,Sitok,“Sitok” berarti “satu” atau “sebuah.”,1
gpt-5.6-luna,1,Songo,Songo berarti sembilan.,1
gpt-5.6-luna,1,sopo,“Sopo” berarti “siapa”.,1
gpt-5.6-luna,1,Stel kendo,“Stel kendo” berarti **setelan yang longgar atau kendur**.,1
gpt-5.6-luna,1,Sugeng,Sugeng berarti selamat atau sejahtera.,1
gpt-5.6-luna,1,Sumelang,"“Sumelang” berarti merasa cemas, khawatir, atau waswas.",1
gpt-5.6-luna,1,Sundel,“Sundel” berarti perempuan jalang atau pelacur; kata ini bersifat kasar dan menghina.,1
gpt-5.6-luna,1,Surup,Surup berarti waktu matahari terbenam atau senja.,1
gpt-5.6-luna,1,Syawalan,Syawalan adalah tradisi berkumpul dan saling bermaafan setelah Hari Raya Idulfitri.,1
gpt-5.6-luna,1,Tali goci,Tali goci berarti tali untuk mengikat atau membawa goci (guci/tempayan kecil).,0
gpt-5.6-luna,1,Tengen,"""Tengen"" berarti ""kanan.""",1
gpt-5.6-luna,1,Tiwas,"Tiwas berarti sia-sia, celaka, atau sudah terlanjur.",1
gpt-5.6-luna,1,Tresna,Tresna berarti cinta atau kasih sayang.,1
gpt-5.6-luna,1,Tumbas,“Tumbas” berarti “membeli.”,1
gpt-5.6-luna,1,Tur,“Tur” berarti “dan” atau “serta.”,1
gpt-5.6-luna,1,Unjung-unjung,“Unjung-unjung” berarti saling berkunjung atau bersilaturahmi.,1
gpt-5.6-luna,1,Urug,Urug berarti timbun atau isi tanah untuk meratakan permukaan.,1
gpt-5.6-luna,1,Wadon,“Wadon” berarti perempuan atau wanita.,1
gpt-5.6-luna,1,Wedhi,Wedhi berarti pasir.,1
gpt-5.6-luna,1,Wo,“Wo” berarti “wah” atau seruan untuk mengungkapkan keterkejutan.,0
gpt-5.6-luna,1,Yen,“Yen” berarti “jika” atau “kalau”.,1
gpt-5.6-luna,2,akeh,Akeh berarti banyak.,1
gpt-5.6-luna,2,Anggitan,“Anggitan” berarti karangan atau ciptaan.,1
gpt-5.6-luna,2,bajigur,"Bajigur adalah minuman tradisional Sunda/Jawa Barat berbahan santan, gula aren, dan jahe.",1
gpt-5.6-luna,2,Balung,“Balung” berarti **tulang**.,1
gpt-5.6-luna,2,bantet,"“Bantet” berarti tidak mengembang atau keras, biasanya untuk makanan seperti kue.",0
gpt-5.6-luna,2,Bedat,Bedat berarti mencuri atau mengambil sesuatu tanpa izin.,0
gpt-5.6-luna,2,Bisane,“Bisane” berarti “bagaimana bisa” atau “kok bisa.”,1
gpt-5.6-luna,2,Blumbang,Blumbang berarti kolam atau tempat penampungan air.,1
gpt-5.6-luna,2,Bolo,“Bolo” berarti teman atau kawan.,1
gpt-5.6-luna,2,Bondho,“Bondho” berarti modal atau harta kekayaan.,1
gpt-5.6-luna,2,Bongko,"“Bongko” berarti bungkusan, terutama makanan yang dibungkus dengan daun.",0
gpt-5.6-luna,2,Briwut,"“Briwut” berarti kusut atau acak-acakan, biasanya untuk rambut.",0
gpt-5.6-luna,2,Carane,“Carane” berarti “caranya” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Celuk,“Celuk” berarti memanggil atau menyapa seseorang.,1
gpt-5.6-luna,2,Cempe,Cempe berarti anak kambing.,1
gpt-5.6-luna,2,Cetho,“Cetho” berarti jelas atau terang.,1
gpt-5.6-luna,2,Cilik,Cilik berarti kecil.,1
gpt-5.6-luna,2,Crigis,“Crigis” berarti cerewet atau banyak bicara.,1
gpt-5.6-luna,2,Dalem,“Dalem” berarti “saya” atau “aku” dalam bahasa Jawa halus.,1
gpt-5.6-luna,2,Dateng,“Dateng” berarti “datang”.,1
gpt-5.6-luna,2,Dong opo ora,“Dong opo ora” berarti “paham atau tidak?” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Dudu,“Dudu” berarti “bukan” atau “tidak”.,1
gpt-5.6-luna,2,Embuh,“Embuh” berarti “tidak tahu” atau “entahlah.”,1
gpt-5.6-luna,2,Endog,“Endog” berarti **telur**.,1
gpt-5.6-luna,2,Entek,"""Entek"" berarti **habis** atau **tidak tersisa**.",1
gpt-5.6-luna,2,Gangsal,Gangsal berarti lima.,1
gpt-5.6-luna,2,Geger,Geger berarti keributan atau kehebohan.,1
gpt-5.6-luna,2,Gentho,Gentho berarti preman atau penjahat.,1
gpt-5.6-luna,2,Graji,“Graji” berarti **gergaji**.,1
gpt-5.6-luna,2,Iki,“Iki” berarti “ini” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Inggil,"Inggil berarti tinggi atau luhur; dalam bahasa Jawa, juga merujuk pada tingkat tutur yang halus.",1
gpt-5.6-luna,2,Isuk,"“Isuk” berarti “pagi” atau “besok”, tergantung konteks.",1
gpt-5.6-luna,2,Jalaran,“Jalaran” berarti “karena” atau “sebab”.,1
gpt-5.6-luna,2,Janganan,“Janganan” berarti sayur atau sayur-mayur.,1
gpt-5.6-luna,2,Jeblos,Jeblos berarti masuk atau jatuh ke dalam lubang.,1
gpt-5.6-luna,2,Jeglongan,“Jeglongan” berarti lubang atau cekungan pada jalan.,1
gpt-5.6-luna,2,Kae,“Kae” berarti “itu” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Kajeng,Kajeng berarti kayu.,1
gpt-5.6-luna,2,Kawulo,"“Kawulo” berarti “saya” atau “rakyat/hamba” dalam bahasa Indonesia, bergantung konteks.",1
gpt-5.6-luna,2,Kaya dene,“Kaya dene” berarti “seperti” atau “ibarat.”,1
gpt-5.6-luna,2,Kebluk,“Kebluk” berarti tertidur pulas atau sangat lelap.,1
gpt-5.6-luna,2,Keluk,Keluk berarti asap.,1
gpt-5.6-luna,2,Kepethuk,“Kepethuk” berarti “bertemu” atau “berjumpa.”,1
gpt-5.6-luna,2,Keplongor,“Keplongor” berarti tercengang atau melongo karena heran.,0
gpt-5.6-luna,2,Kiwa,Kiwa berarti kiri.,1
gpt-5.6-luna,2,Koen,"“Koen” berarti “kamu” atau “anda” dalam bahasa Indonesia, biasanya digunakan dalam ragam informal.",1
gpt-5.6-luna,2,Kowe,“Kowe” berarti “kamu” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Kula,“Kula” berarti “saya” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Kulon,Kulon berarti barat.,1
gpt-5.6-luna,2,Kupat,"Kupat berarti ketupat, yaitu makanan dari beras yang dimasak dalam anyaman daun kelapa.",1
gpt-5.6-luna,2,Lanang,Lanang berarti laki-laki atau pria.,1
gpt-5.6-luna,2,lhais,"“Lhais” berarti “oh iya” atau “nah, iya.”",0
gpt-5.6-luna,2,Likur,"Likur berarti dua puluh satu sampai dua puluh sembilan, biasanya dalam bilangan Jawa.",1
gpt-5.6-luna,2,Londo ireng,“Londo ireng” berarti orang asing berkulit hitam atau orang Barat berkulit hitam.,0
gpt-5.6-luna,2,Luwes,"Luwes berarti mudah menyesuaikan diri, tidak kaku, dan fleksibel.",1
gpt-5.6-luna,2,Mbanyol,“Mbanyol” berarti bercanda atau melucu.,1
gpt-5.6-luna,2,Mbeling,"Mbeling berarti nakal, sulit diatur, atau suka melanggar aturan.",1
gpt-5.6-luna,2,mbesengut,Mbesengut berarti cemberut atau bermuka masam.,1
gpt-5.6-luna,2,Mbok,"“Mbok” berarti “ibu” atau “perempuan tua,” dan juga dapat digunakan sebagai panggilan sopan untuk perempuan.",1
gpt-5.6-luna,2,Mboten,“Mboten” berarti “tidak” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Meh,“Meh” berarti “akan” atau “hendak.”,0
gpt-5.6-luna,2,Mekaten,“Mekaten” berarti “demikian” atau “begitulah.”,1
gpt-5.6-luna,2,Mendoan,Mendoan berarti tempe yang digoreng setengah matang dengan balutan adonan tepung.,1
gpt-5.6-luna,2,Meneh,“Meneh” berarti “lagi” atau “kembali”.,1
gpt-5.6-luna,2,Menungso,Menungso berarti **manusia**.,1
gpt-5.6-luna,2,Mrene,“Mrene” berarti “ke sini” atau “sini” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Mripate,"""Mripate"" berarti ""matanya"" dalam bahasa Indonesia.",1
gpt-5.6-luna,2,Muwah-muwuh,“Muwah-muwuh” berarti bertambah-tambah atau berlebihan.,1
gpt-5.6-luna,2,Namung,"""Namung"" berarti ""hanya"" atau ""cuma.""",1
gpt-5.6-luna,2,Nanging,“Nanging” berarti “tetapi” atau “namun”.,1
gpt-5.6-luna,2,Ndrawasi,“Ndrawasi” berarti membahayakan atau mengancam keselamatan.,1
gpt-5.6-luna,2,Nduwur,“Nduwur” berarti “di atas” atau “bagian atas.”,1
gpt-5.6-luna,2,Nedha,“Nedha” berarti “makan” (bentuk halus dalam bahasa Jawa).,1
gpt-5.6-luna,2,Ngarit,Ngarit berarti mencari atau memotong rumput untuk pakan ternak.,1
gpt-5.6-luna,2,Ngebaki,“Ngebaki” berarti mengisi atau memenuhi hingga penuh.,1
gpt-5.6-luna,2,Ngecembeng,“Ngecembeng” berarti bersikap cengeng atau mudah menangis.,0
gpt-5.6-luna,2,Ngelih,Ngelih berarti lapar.,1
gpt-5.6-luna,2,nggapleki,“Nggapleki” berarti menyebalkan atau menjengkelkan.,1
gpt-5.6-luna,2,Nggawe,“Nggawe” berarti “membuat” atau “mengerjakan”.,1
gpt-5.6-luna,2,nggeh,“Nggeh” berarti “iya” atau “ya” dalam bahasa Jawa krama.,1
gpt-5.6-luna,2,Nggoser,“Nggoser” berarti menggeser atau memindahkan sesuatu dengan cara menyeretnya.,0
gpt-5.6-luna,2,Nggugah,“Nggugah” berarti membangkitkan atau menyentuh perasaan/hati.,1
gpt-5.6-luna,2,Ngono,“Ngono” berarti “begitu” atau “seperti itu.”,1
gpt-5.6-luna,2,Niku,“Niku” berarti “itu” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Ning,“Ning” berarti “tetapi” atau “namun”.,1
gpt-5.6-luna,2,Ningali,“Ningali” berarti “melihat.”,1
gpt-5.6-luna,2,Njero,Njero artinya **dalam**.,0
gpt-5.6-luna,2,Nrimo,Nrimo berarti menerima keadaan dengan ikhlas dan lapang dada.,1
gpt-5.6-luna,2,Nyambut,"“Nyambut” berarti bekerja, biasanya dalam ungkapan “nyambut gawe.”",1
gpt-5.6-luna,2,Nyandhak,“Nyandhak” berarti memegang atau meraih.,1
gpt-5.6-luna,2,Og,"“Og” berarti “kok” atau “loh” sebagai kata penegas, tergantung konteks.",1
gpt-5.6-luna,2,Padha,“Padha” berarti “sama” atau “mereka” (tergantung konteks).,1
gpt-5.6-luna,2,Pancen,“Pancen” berarti “memang” atau “benar-benar”.,1
gpt-5.6-luna,2,Panggah,"“Panggah” berarti tetap, teguh, atau tidak berubah.",1
gpt-5.6-luna,2,Panjenengan,“Panjenengan” berarti “Anda” atau “kamu” sebagai sapaan yang sopan.,1
gpt-5.6-luna,2,Pedhot,“Pedhot” berarti “putus” atau “terputus.”,1
gpt-5.6-luna,2,Pewe,"“Pewe” berarti nyaman atau enak, biasanya merujuk pada posisi atau tempat.",1
gpt-5.6-luna,2,Pindho,"“Pindho” berarti “kedua” atau “dua kali,” tergantung konteks.",1
gpt-5.6-luna,2,Pirantos,“Pirantos” berarti **alat atau perlengkapan**.,1
gpt-5.6-luna,2,Pitakon,“Pitakon” berarti “pertanyaan” dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Piyambak,“Piyambak” berarti “sendiri” atau “diri sendiri.”,1
gpt-5.6-luna,2,Purun,“Purun” berarti “mau” atau “bersedia.”,1
gpt-5.6-luna,2,Reksa,"“Reksa” berarti menjaga, merawat, atau memelihara.",1
gpt-5.6-luna,2,Rene,“Rene” berarti “ke sini” atau “kemari.”,1
gpt-5.6-luna,2,Riyoyo,“Riyoyo” berarti hari raya atau perayaan dalam bahasa Indonesia.,1
gpt-5.6-luna,2,Rontek,Rontek berarti bendera kecil atau panji-panji yang dipasang pada tombak.,1
gpt-5.6-luna,2,Sae,"""Sae"" berarti ""baik"" atau ""bagus.""",1
gpt-5.6-luna,2,Saged,Saged berarti **bisa** atau **dapat**.,1
gpt-5.6-luna,2,Sagedipun,“Sagedipun” berarti “semampunya” atau “sebisa mungkin.”,1
gpt-5.6-luna,2,Sampun,"""Sampun"" berarti ""sudah"" atau ""telah.""",1
gpt-5.6-luna,2,Sanadyan,“Sanadyan” berarti “meskipun” atau “walaupun.”,1
gpt-5.6-luna,2,Seje,“Seje” berarti “berbeda” atau “lain.”,1
gpt-5.6-luna,2,Senep,“Senep” berarti sesuatu yang terpendam atau tersimpan dalam hati.,0
gpt-5.6-luna,2,Sewelas,Sewelas berarti sebelas.,1
gpt-5.6-luna,2,Sitok,“Sitok” berarti “satu” atau “sebuah”.,1
gpt-5.6-luna,2,Songo,Songo berarti sembilan.,1
gpt-5.6-luna,2,sopo,“Sopo” berarti “siapa”.,1
gpt-5.6-luna,2,Stel kendo,“Stel kendo” berarti bersikap santai atau tidak tegang.,1
gpt-5.6-luna,2,Sugeng,Sugeng berarti “selamat” atau “sejahtera.”,1
gpt-5.6-luna,2,Sumelang,"Sumelang berarti merasa cemas, khawatir, atau gelisah.",1
gpt-5.6-luna,2,Sundel,“Sundel” berarti pelacur atau perempuan jalang; kata ini bersifat kasar dan menghina.,1
gpt-5.6-luna,2,Surup,Surup berarti waktu matahari terbenam atau menjelang malam.,1
gpt-5.6-luna,2,Syawalan,Syawalan berarti tradisi atau acara silaturahmi dan saling bermaaf-maafan setelah Idulfitri.,1
gpt-5.6-luna,2,Tali goci,“Tali goci” berarti tali untuk mengikat atau membawa goci (kendi).,0
gpt-5.6-luna,2,Tengen,“Tengen” berarti “kanan” atau “sebelah kanan.”,1
gpt-5.6-luna,2,Tiwas,"“Tiwas” berarti mati atau meninggal, dan dalam konteks tertentu dapat berarti sia-sia.",1
gpt-5.6-luna,2,Tresna,Tresna berarti cinta atau kasih sayang.,1
gpt-5.6-luna,2,Tumbas,“Tumbas” berarti “membeli”.,1
gpt-5.6-luna,2,Tur,“Tur” berarti “dan” atau “serta.”,1
gpt-5.6-luna,2,Unjung-unjung,“Unjung-unjung” berarti saling berkunjung atau bersilaturahmi.,1
gpt-5.6-luna,2,Urug,Urug berarti tanah timbunan atau menimbun tanah.,1
gpt-5.6-luna,2,Wadon,Wadon berarti perempuan atau wanita.,1
gpt-5.6-luna,2,Wedhi,Wedhi berarti pasir.,1
gpt-5.6-luna,2,Wo,"“Wo” berarti “wah”, yaitu seruan kaget atau kagum.",0
gpt-5.6-luna,2,Yen,“Yen” berarti “jika” atau “kalau” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,akeh,“Akeh” berarti “banyak”.,1
gpt-5.6-luna,3,Anggitan,“Anggitan” berarti karangan atau ciptaan.,1
gpt-5.6-luna,3,bajigur,"Bajigur berarti minuman tradisional khas Sunda dari santan, gula aren, dan jahe.",1
gpt-5.6-luna,3,Balung,Balung berarti tulang.,1
gpt-5.6-luna,3,bantet,"“Bantet” berarti keras dan padat karena tidak mengembang, biasanya untuk makanan seperti kue.",0
gpt-5.6-luna,3,Bedat,“Bedat” berarti **terbelah atau pecah**.,0
gpt-5.6-luna,3,Bisane,“Bisane” berarti “bisanya” atau “hanya bisa”.,1
gpt-5.6-luna,3,Blumbang,Blumbang berarti kolam atau tempat penampungan air.,1
gpt-5.6-luna,3,Bolo,“Bolo” berarti teman atau kawan.,1
gpt-5.6-luna,3,Bondho,“Bondho” berarti “harta” atau “kekayaan.”,1
gpt-5.6-luna,3,Bongko,Bongko berarti makanan tradisional yang dibungkus dengan daun pisang.,1
gpt-5.6-luna,3,Briwut,“Briwut” berarti kusut atau berantakan.,0
gpt-5.6-luna,3,Carane,Carane berarti “caranya” atau “bagaimana caranya”.,1
gpt-5.6-luna,3,Celuk,Celuk berarti panggilan atau seruan.,1
gpt-5.6-luna,3,Cempe,Cempe berarti anak kambing.,1
gpt-5.6-luna,3,Cetho,“Cetho” berarti **jelas atau terang**.,1
gpt-5.6-luna,3,Cilik,Cilik berarti kecil.,1
gpt-5.6-luna,3,Crigis,“Crigis” berarti cerewet atau banyak bicara.,1
gpt-5.6-luna,3,Dalem,"“Dalem” berarti “rumah” atau “saya” sebagai bentuk bahasa Jawa halus, tergantung konteks.",1
gpt-5.6-luna,3,Dateng,“Dateng” berarti “datang” dalam bahasa Indonesia.,1
gpt-5.6-luna,3,Dong opo ora,“Dong opo ora” berarti “tahu atau tidak?”,0
gpt-5.6-luna,3,Dudu,“Dudu” berarti “bukan” atau “tidak.”,1
gpt-5.6-luna,3,Embuh,“Embuh” berarti “tidak tahu” atau “entahlah.”,1
gpt-5.6-luna,3,Endog,Endog artinya telur.,1
gpt-5.6-luna,3,Entek,Entek berarti habis atau sudah tidak tersisa.,1
gpt-5.6-luna,3,Gangsal,“Gangsal” berarti **lima**.,1
gpt-5.6-luna,3,Geger,"“Geger” berarti keributan, kegaduhan, atau kehebohan.",1
gpt-5.6-luna,3,Gentho,Gentho berarti preman atau orang kasar yang suka berbuat onar.,1
