category_id	langs_with_it	total_rules	example_name	example_lang
AO45_RULES_PT_PT	pt	10	🇵🇹 Regras do Acordo Ortográfico de 45 (pré-AO90)	pt
SCIENTIFIC	pt	9	🔬 Linguagem científica	pt
FULL_SENTENCES	nl	9	volledige zinnen met fout	nl
LLENGUATGE_INCLUSIU	ca	9	Llenguatge inclusiu	ca
PONCTUATION_STYLE_OS	fr	9	Ponctuation style OS	fr
MOZAMBIQUE_PORTUGUESE	pt	8	Português de Moçambique (pré-AO90)	pt
ANGOLA_PORTUGUESE	pt	8	Português de Angola (pré-AO90)	pt
VASTE_UITDRUKKINGEN	nl	8	Vaste uitdrukkingen	nl
CONFIDENT	nl	8	Duidelijk en zelfverzekerd schrijven	nl
WORD_ORDER	pl	8	Błędy w szyku wyrazów	pl
TRANSLATION_ERRORS	pt	6	Erros de Tradução	pt
CONTRACTIONS_PT_PT	pt	6	🇵🇹 Contrações	pt
LOGICAL_ERRORS	uk	6	Логічні помилки	uk
GENDER_NEUTRALITY	de,nl	6	Geschlechtergerechte Sprache	de
DIACRITICS_EXPERIMENTAL	es	6	diacríticos (experimental)	es
LANGUAGE_VARIANTS	es	6	Variedades de lengua	es
INFORMAL	pt	5	Linguagem informal	pt
CONFUSED_WORDS_PT_PT	pt	5	🇵🇹 Confusão de Palavras	pt
ADAPTADOR_VALENCIA	ca	5	adaptador valencià	ca
STREEKTAAL	nl	4	Streektaal	nl
DISPUTED_FORMS	ca	4	Formes normatives discutides: ressituar	ca
SELECT_SENTENCES	ca	4	utilitats per a seleccionar frases	ca
VALENCIAN_RULES	ca	4	Regles específiques per al diccionari valencià	ca
BR_SPELLING	pt	3	🇧🇷 ortografia brasileira	pt
BELEDIGEND	nl	3	Beledigend	nl
POSITIVE	pt	2	🎯 Linguagem positiva	pt
GENERAL	pt	2	🖌️ Regras gerais de estilo	pt
TRANSLATION_ERRORS_PT_PT	pt	2	🇵🇹 Erros de Tradução	pt
LEESBAARHEID	nl	2	Leesbaarheid	nl
NEG	pl,ru	2	negation	pl
DEVELOPMENT	pt	1	Desenvolvimento	pt
STYLE_NLBE	nl	1	style rules	nl
DIACRITICS_IEC	ca	1	Z) Accents diacrítics segons l'IEC	ca
ADMINISTRATIVE_LANGUAGE	ca	1	Llenguatge administratiu	ca
FALSE_FRIENDS	nl	0	Woorden die verward worden met een gelijkend woord in een andere taal.	nl
