word | miss_spelling
biarpet | byarpet
biawak | menyawak
bicokok | becolok
bidal | jidal
bidar | bedar
bijan | lenga
biliun | bilyun
bimbit | bembet
bincacak | bincacau
biner | binari
bistik | bestik
bius | bihausy
bomoh | bomor
bonafide | bonafid
bongkah | bungkah
bonsai | bongsai
bonyok | bonyor
bramacorah | bromocorah
breksia | breksi
brokat | berokat
bufet | bupet
buhuk | bohok
buhul | buhur
bujangga | bujanggi
bukut | bokot
bulsak | bolsak
bumantara | bomantara
bumper | bemper
bundel | bendel
bungkas | bongkas
bungkuk | bongkok
burak | borak
burhan | borhan
buron | burun
bustan | bostan
busur | busar
buta | bota
cadar | cadir
cadel | cedal
cahaya | caya
campak | tampek
carak | carat
catat | catet
caung | cauk
cecak | cicak
ceceng | seceng
cecer | cicir
cecunguk | cunguk
cedok | cedong
cekak | cekap
cekam | cukam
cekcok | cecok
cekibar | cekiber
cekik | cekek
celam-celum | celum-celam
celempong | calempong
celopar | celupar
celoteh | keloceh
celuk | celok
celurit | clurit
celurut | cencurut
celus | calus
cembul | cumbul
cemerlang | jemerlang
cempek | cempeng
cenangga | cangga
cendawan | tindawan
cengkelong | cengkolong
cengkih | cengkeh
cengkok | cengkuk
centeng | cinteng
cepiau | capiau
cepol | cepal
cerancang | ceracah
ceranggah | ceronggak
ceranggah | jerangkah
ceratuk | cerotok
cerek | ceret
cerita | ceritera
cerobong | terobong
cetak | citak
ciak | ciok
cicit | cici
cincau | cingcau
cincong | cingcing
cingangah | cingah
coban | cuban
coblos | toblos
codak | codang
cokelat | soklat
colek | colet
coli | culi
conet | cotet
congkak | bongkak
congklang | congkelang
conteng | cunting
cucakrawa | cocakrawa
cucunda | cunda
cungap | cungak
cungkil | cukir
cupar | copar
cupul | copol
dacin | dacing
dahulu | dulu
daitia | detia
dalalat | lalalat
damah | dammah
dambin | dambun
dap | edap
daras | darus
darurat | gelorat
dawat | dakwat
debit | debet
debitur | debitor
decap | decah
dedemit | demit
degan | duwegan
degen | digen
dekus | kus
delamak | delemak
demek | semek
dempok | dempuk
dengkur | dengkut
deram | leram
deret | teret
derik | lerik
deruji | deriji
derum | derun
derum | lerum
derus | derut
destar | dastar
desus | decus
dewala | diwala
diat | diah
diatonik | diatonis
dirham | derham
dogel | dogeng
dolfin | dolpin
domba | merino
donatur | donatir
dongak | dangak
drum | drem
duha | loha
durhaka | deraka
durno | durna
dus | dos
edema | udema
efedrina | efedrin
egalitarianisme | egalitarisme
eklektik | eklektis
eksem | eksim
ekspeditor | ekspeditur
eksploitasi | eksploitir
eliminasi | eliminir
elo | ela
emak | umak
embalau | malau
embrat | emrat
empedal | mempedal
enamel | anamel
encim | cim
endoderma | endoderm
engah | rengah
enjelai | menjelai
enkulturasi | inkulturasi
enyah | nyah
enyak | anyak
erotis | erotik
eru | ru
estetika | aestetika
etiologi | aetiologi
faedah | paedah
faraid | paraid
farji | faraj
faset | paset
fasik | pasik
fatsun | fatsoen
fi | phi
filsuf | filosof
fitrah | pitrah
fobia | fobi
fondasi | pondasi
formatur | formatir
forum | fora
fosfor | fluor
fosfor | posfor
frasa | frase
fundamen | fondamen
fundamen | pondamen
gadang | gedang
gahara | gara
gama | gamma
gamit | gemit
gana-gini | gono-gini
gandin | ganden
gangsir | gasir
gardan | kardan
garuda | geroda
gasal | gangsal
gasang | gangsang
gasing | gangsing
gedebuk | gedabak
gejolak | gelojak
gejolak | kejolak
geladi | gladi
gelamai | kelamai
gelambir | gedabir
gelangsar | gelasar
gelantang | gelatang
gelegak | gelagak
gelembung | kelembung
gelendong | gelindung
gelepot | gelepok
gelepur | gelapur
geleser | gelesek
geletar | gelentar
geletar | keletar
geliang | geliut
gelicik | kelicik
gelincir | gencir
gelincir | kelincir
gelisah | kelisah
gelodok | glodok
gelondongan | glondongan
gelongsor | gelosor
gelopak | gelokak
gemerencing | gemercing
gemetar | gementar
gemulai | kemalai
gencar | gencer
gendak | kendak
genggang | ginggang
gengsi | gingsi
genis | genih
genius | jenius
genting | genteng
geostasioner | geosinkronis
geranium | geronium
gerantang | gerontang
geranyam | gerenyam
gerdum | gerdam
gerebek | gerebak
gerecak | geracak
gereget | gregat
gereget | greget
gerentang | gerentam
gerha | greha
geringsing | keringsing
gerlap | gertap
gerogol | gerugul
gerogot | geragot
geronggang | geronggong
gerupis | geropes
getik | gentik
gilir | geler
gipsi | jipsi
glikosida | glikosid
gliserol | gliserin
gobar | gubar
godam | gudam
golbi | golpi
gombroh | gombrong
gondrong | gonrong
goniometri | gonio
gores | kores
guncang | goncang
guram | gurem
gurita | gerita
gusti | kusti
hablur | ablur
hafal | hapal
halalbihalal | bihalal
halimbubu | kelembubu
halofit | halofita
hambat | ambat
hancing | ancing
hancur | mumur
handuk | anduk
hanggar | hangar
hanya | hanyasanya
harfiah | harafiah
hartal | retal
haudah | hodah
haul | hol
haul | khaul
hektare | hektar
helat | elat
helat | helah
hembalang | humbalang
herbivor | herbivora
hibah | ibah
hibuk | ibuk
hidayah | hidayat
hidraulika | hidrolika
hidraulis | hidraulik
hikmah | hikam
hilir | ilir
himar | kimar
hipnosis | hipnose
hiruk | piruk
hokah | hukah
hujin | hunjin
huyung | uyung
ijon | ijeman
ikhlas | akhlas
ikhtiar | ihtiar
ikhwan | akhwan
iktibar | itibar
iktidal | itidal
iktikad | itikad
iktikaf | itikaf
iktirad | itarad
iktiraf | itaraf
incar | incer
indekos | kos
infanteri | infantri
influenza | influensa
ingar | hingar
insang | angsang
instalatur | instalatir
interjeksi | interyeksi
intern | interen
interviu | interpiu
invertebrata | avertebrata
isap | hisap
isolasi | isolir
istana | astana
istinja | setinja
jabal | jabel
jaharu | jaru
jaket | jeket
jamang | jejamang
jamiah | jamiyah
janah | jannah
jangat | jengat
jangkau | jingkau
jangki | jangkih
jangkrik | jengkerik
jantur | jentur
japu | japuk
jariah | jariat
jauza | juja
jelangkung | jailangkung
jelatang | latang
jeluang | deluang
jelujur | delujur
jelungkap | selungkap
jelut | delut
jemaah | jamaah
jemawa | jumawa
jempalit | jempalik
jemuju | maja-muju
jendela | jenela
jengket | jengget
jentera | jantera
jepit | cepit
jepit | jepet
jerepet | jerembet
jeriken | jerigen
jermang | jeremang
jeruji | deruji
jerukup | jerungkup
jerungkis | jerongkes
jibilah | jibilat
jidur | jidor
jinjing | jenjeng
jongkang | jongkah
joran | juran
juadah | zuadah
juak | joak
juang | joang
jujah | jujat
jumantan | jumanten
jungkal | jungkel
jura | jurah
juragan | jeragan
kabar | khabar
kabihat | gabihat
kabin | kebin
kacau | kaco
kadar | kedar
kafilah | kapilah
kafir | kapir
kaing | kuing
kalau | kalo
kalikausar | kalikasar
kalio | kulio
kalkalah | kulkulah
kalkarium | kalkarim
kamariah | komariah
kambeli | kameli
kamerad | kambrat
kamper | kamfer
kampil | kampit
kangkang | kengkang
kanguru | kangguru
kapak | kampak
kapang | kampang
karaeng | keraeng
karamba | karaba
karas | kekaras
karbida | karbit
karbon | karbonium
kardamunggu | kerenggamunggu
kareseh-peseh | kreseh-peseh
karisma | kharisma
kartunis | kartonis
kasak-kusuk | kasak-kisik
kasau | kaso
kasmaran | kesmaran
kastel | kastil
kasuari | kasuwari
kasui | kaswi
kaswah | gaswah
katai | kate
katalog | katalogus
katelum | katlum
katwal | ketual
kawin | kahwin
kawula | kaula
kawung | kaung
kebab | kabab
kebat | kebit
kebembem | kebambam
kebuli | kabuli
kecandan | candan
kecibeling | kejibeling
kecimpung | cimpung
kecoh | kicuh
kecut | kucut
kedah | keda
kedaluwarsa | daluwarsa
kedelai | kedele
kedengkang | kedengkung
kedewas | kedewaga
kedidi | kudidi
kedondong | kedongdong
kedut | kerdut
kejap | kijip
keju | kiju
kekar | kakar
kelangkang | kerangkang
kelari | kulari
kelas | klas
kelebek | kelebet
kelekatu | kalakatu
kelelawar | lelawa
kelemayar | mayar
kelemur | kelemumur
kelendara | kelandera
kelengkeng | kelengking
kelenteng | klenteng
kelicik | kelicih
kelikat | kulikat
keliti | keleti
kelobot | klobot
kelongsong | gelongsong
kelongsong | kerongsong
kelopak | pelopak
keluak | keluwek
keluk | kaluk
kelulus | kalulus
kemala | gemala
kemala | kumala
kemenakan | kemanakan
kemendur | kemundir
kemenyan | kumayan
kemenyan | menyan
kemiri | keminting
kemoceng | kemucing
kempis | kempes
kemung | kemong
ken | kin
kencana | kancana
kendaga | gendaga
kendit | gendit
kendur | kendor
kenidai | kelidai
kenong | kenung
kentung | kentong
kenur | kenor
kep | kip
kepinding | pinding
kepodang | kepudang
kerabat | kirabat
kerah | krah
kerakal | krakal
kerakeling | kerkeling
kerampagi | kerempagi
keran | kran
kerbau | kebo
kerdam | kerdum
keremot | keremut
kerengga | kerangga
kerenting | kerencing
keriang-keriut | keriat-keriut
keripik | kerepek
keriput | kerepot
kerkah | kerekah
kernyau | kerenyau
kernyit | kerenyit
keroncor | keronco
keropok | keropong
kerosak | kerosek
kerpai | kerepai
kerpak | kerepak
kerpus | karpus
kertau | keratau
kerubin | kerubian
kerucut | keroncot
kerudung | kekudung
kerumuk | kerimuk
keruyuk | keluruk
kesambi | kosambi
kesatria | ksatria
kesatria | satria
kesemek | kasemek
kesima | kasima
kesimbukan | simbukan
ketilang | kutilang
ketirah | katirah
ketuat | tuat
ketungging | ketonggeng
khadam | hadam
khalikah | kelikah
khamir | kamir
khasiat | kasiat
khatam | katam
khayal | kayal
khojah | kuja
khuduk | khudu
khuldi | kuldi
khuluk | khulak
khusyuk | khusuk
kiamat | sugra
kiambang | kayambang
kibas | gibas
kicut | kiut
kilap | mengkilap
kilau | kemilau
kimkha | kingka
kinantan | kenantan
kingking | kingkip
kintil | intil
kirik | mengkirik
kismat | kismet
kista | sista
kitar | kintar
kizib | kidab
klan | klen
klep | kelep
klorin | klor
kocong | kucung
kohong | kahang
koklea | kohlea
kokot | kukut
kolang-kaling | kolang-kalik
kolintang | kulintang
kolomben | kolembeng
kolumnis | kolomnis
komoditas | komoditi
komplet | komplit
konferensi | konperensi
konfrontasi | konfrontir
kongko | kongkow
konkurs | kongkurs
konsentris | konsentrik
konsorsium | konsortium
kooperatif | koperatif
kooperativisme | koperativisme
koordinasi | koordinir
koper | kopor
kopling | kopeling
korsel | karosel
kosen | kusen
kotrek | koterek
koyam | kuyam
kraniometri | kroniometri
krematorium | krematori
kribo | krebo
kriminal | kriminil
kriteria | kriterium
kromo | krama
kualat | kuwalat
kualat | walat
kuarsa | kuarza
kuartet | kwartet
kubik | kibik
kudis | kudil
kuis | kwiz
kukuruyuk | kuruyuk
kulah | kolah
kumal | kumel
kumandang | kemandang
kumanga | kumango
kungkang | kukang
kuno | kuna
kuorum | korum
kuota | kuotum
kurma | korma
kursi | korsi
kutaha | ketah
kwartir | kuartir
laberang | labrang
labi-labi | lelabi
lailah | lailat
lakeri | lakri
lalai | talai
lalat | laler
lamina | laminah
landung | landut
langak-longok | langak-languk
langau | lengau
langkas | lengkas
langsar | lansar
langseng | langsang
langsi | lansi
langsuir | suir
lanskap | lansekap
lantun | lentun
lasah | lesah
lasak | lesek
laskar | lasykar
lawai | lawe
leding | ledeng
lega | legah
legalisasi | legalisir
lelang | lelung
lelatu | latu
leluasa | luasa
lemari | almari
lembam | lemban
lembap | lembab
lembek | lembik
lembidang | lemidang
lempem | lempam
lempuh | lempoh
lempuk | lempok
lempuyangan | lampoyangan
lencit | lancit
lendir | lender
lengar | lenger
lenggundi | legundi
lengkitang | langkitang
lengser | lenser
lengset | lenset
lenguh | languh
lenguh | tenguh
lentera | lantera
lepau | lapo
lepot | blepot
lesi | lesih
lesit | lasit
leukosit | lekosit
lever | liver
lezat | lazat
libreto | libereto
lili | leli
limfositopenia | limfopenia
limun | limonade
liontin | leontin
liplap | leplap
lokalisasi | lokalisir
loki | loktong
loteng | laoteng
luak | luhak
lubang | lobang
luber | leber
luk | eluk
luruh | ruruh
lusin | dosin
lusin | losin
macet | macat
madah | maddah
madar | mada
madya | madia
magfirah | magfirat
magis | magik
mahbubah | mahbubat
mahesa | mahisa
mahfuz | mahful
mahkota | makota
mahligai | mahaligai
mahoni | magobi
mahsyar | mahsar
majakane | manjakani
majir | majer
mak | emak
makara | mangkara
makaroni | makroni
makhraj | mahraj
makin | mangkin
makyong | makyung
malaikatulmaut | malakulmaut
malaka | melaka
malim | malin
malun | malaun
mamang | mamar
mambang | membang
mambruk | membruk
mandor | mandur
manfaat | menepaat
mangkar | mangkah
mangkas | makas
manila | menila
manira | menira
mantel | mantol
marah | amarah
marbut | merbot
margin | marjin
marginal | marjinal
marginalisasi | marjinalisasi
mariyuana | marihuana
marmer | marmar
marmot | marmut
marsepen | marzipan
masai | mangsai
mashaf | masyhaf
maskat | meskat
masohi | masori
massal | masal
masyakah | masyakat
matang | mateng
mati | mawat
matris | matres
matros | menteros
maulai | maulaya
mazbah | mezbah
medalion | madaliun
medok | meduk
megap-megap | magep-magep
mejan | mejen
mekar | mengkar
melambang | melambing
meleng | meling
memar | memur
memberang | memerang
mempelai | merpelai
mempelam | ampelam
menaga | penaga
menantu | minantu
menceret | mencret
mencit | mancit
menclok | mencok
mendiang | mandiang
mendura | mendora
mengap-mengap | ungap-ungap
mengi | mengeh
mengkal | mengkel
mengkeret | mengkerat
mengkis | mekis
mengsol | mengsong
mentari | mantari
mentega | mertega
merawal | merual
mercon | mercun
merem | meram
merger | merjer
merikan | marikan
mertua | mentua
mesiu | mensiu
meta | menta
metafisika | metafisik
meterai | materai
metonimia | metonimi
miliuner | milioner
minat | menat
mindring | mendreng
miring | mereng
misoa | misua
mitraliur | mataliur
mojah | mozah
mok | muk
moncong | muncung
monsun | muson
muarikh | muwarikh
mudarat | madarat
mufaham | mupaham
mufakat | mupakat
mufarik | muparik
muktabar | mutabar
muktamad | mutamad
mulas | mules
mulato | mulat
munasabah | menasabah
muncikari | mucikari
mung | mong
munggu | mungguk
mungkur | mongkor
mungsi | musi
murca | merca
muruah | marwah
musabaqah | musabakah
mushaf | mashaf
muskil | musykil
mustamik | mustami
musytak | mustak
muzakar | mudakar
nadir | nadirat
nafi | napi
nafkah | pekah
nafsi | napsi
nafsu | napsu
naga | sekuik
nagari | negari
nah | na
nahas | naas
nahu | nahwu
najasah | najasat
nali | nalih
nanar | nenar
napal | nampal
nazar | nadar
necis | neces
nekat | nekad
nelayan | telayan
nenenda | nenekanda
neonatus | neonatal
netralisasi | netralisir
nifas | nipas
nikel | nekel
ninitowok | ninitowong
nirmala | nurmala
nomor | nomer
nyenyat | nyenyet
nyiru | niru
nyiur | niur
nyunyut | nyonyot
obat | ubat
objektivisme | obyektivisme
oja | ojah
oja | uja
oktana | oktan
omnivor | omnivora
omzet | omset
onak | unak
onggok | ungguk
ons | on
opelet | oplet
orak | horak
orang | urang
orasi | orasio
orisinal | orisinil
otologi | autologi
otomatis | automatis
otoriter | otoritarian
otoskop | autoskop
ovarium | ovari
pacet | pacat
pacih | pacis
padah | pedah
paing | pahing
pair | payir
pakem | pekam
palmin | palmit
pampat | mampat
panau | panu
pancit | perancit
pancur | mancur
pandan | podak
pangkal | mangkal
panitera | panitra
panjar | panjer
pao-pao | opau
papak | mapak
paranpara | parampara
parsial | partial
paruh | paro
pasteur | pastur
pastoran | pastori
pasumandan | pesemendan
pecak | pecok
peci | pici
pedada | pidada
pedagogis | pedagogik
pedepokan | padepokan
pedusi | padusi
peguam | pegawam
pekasam | bekasam
pelat | plat
pelata | belata
pelebegu | perbegu
pelepah | pelapah
pelesit | palasik
peletek | letek
pelumpung | pelungpung
pemali | pali
pemidang | pemindang
pemirsa | pirsawan
penaram | peniaram
peneonan | neonisasi
penes | pinas
pengekspor | eksportir
penggawa | punggawa
pengkol | bengkol
pensil | pinsil
pentil | bentil
penyek | penyet
pepat | papat
perbawa | prabawa
pergol | pergul
perinci | rinci
peringgi | peranggi
peringis | beringisan
peringkat | perengkat
perlenteh | perlintih
pernikel | pernekel
perogol | perugul
perslah | perselah
personel | personil
pesak | pisak
pesanggrahan | pasanggrahan
pesanggrahan | senggerahan
pesek | peset
pesero | persero
pesuk | pesok
petah | pitah
petaram | pateram
petitih | titih
pialing | puling
piama | piyama
pica | picah
pijak | pinjak
pijak | tijak
pikap | pikup
pingkal | pingkel
pistol | pestol
pitis | pitih
pocok | mocok
polan | fulan
polmah | polmak
porok | temporok
presidensial | presidentil
priagung | priyagung
priayi | priyayi
privat | prive
prop | perop
provinsi | propinsi
provokator | provokatur
publikasi | publisir
puerpera | puerperium
puitis | puitik
pulas | pules
pulp | pulpa
puncak | kemuncak
pusar | puser
puyuh | kepuyuh
qariah | kariah
rabit | rabik
radis | rades
rahasia | rahsia
rahmat | rohmat
rais | rois
rajabiah | rojabiyah
rajam | rejam
rajungan | ranjungan
rakaat | rekaat
rakbol | ragbol
rama | romo
ramal | rumal
rambeh | rambih
ramping | rampis
ramus | ramulus
randa | rangda
rangkiang | lengkiang
rangkum | rangkun
rango-rango | ranguk
ranjau | ranju
ransel | rangsel
ransum | rangsum
rapah | repah
rasamala | raksamala
rasuk | rangsuk
rawan | rewan
rayu | rayun
rebung | rebong
recik | rencik
redah | redas
rekah | lekah
remah | rimah
rembega | lembega
rembet | rimbit
rembunai | remuni
remenia | rumenia
rengek | renggek
rengga | rengka
renggek | ringgik
rengkiang | kerengkiang
rengkuh | rangkuh
renjeng | renjong
renjis | rencis
repas | repak
repertoar | repertorium
repet | repek
repih | repis
rerak | lelak
reruntuk | runtuk
resbang | rosbang
resi | resu
residivistis | residif
retorik | retoris
revolver | repolper
reyot | reot
rial | reyal
rimba | rimbu
rimbat | rembat
rimis | rimih
rimpung | rempong
rincu | rincuh
risi | risih
ritme | ritma
ritmis | ritmik
ritual | rituil
ro | rho
roboh | rubuh
rodi | wardi
rogol | rugul
rohani | ruhani
rona | rena
rongkok | ronggok
ronta | runtak
rontgen | ronsen
rua | rowa
rubaiat | rubayat
ruhbanat | rubanat
rukyatulhilal | ruyatulhilal
rumpun | umpun
rumrum | rungsum
rungut | rongot
saadah | saadat
sabana | savana
sadah | sedah
sadariah | sederiah
sagon | sagun
sagu | sago
saguer | saguir
sahaja | sehaja
sajadah | sujadah
saka | soko
sakelar | saklar
saking | sangking
sakratulmaut | sakaratulmaut
salai | sale
salep | salap
samas | syamas
sanda | sinda
sanggah | senggah
sangkala | sangkela
santo | santu
santri | senteri
sapi | sampi
sarden | sardencis
saron | sarun
saruk | sarok
sasa | sasan
sasis | casis
satria | seteria
satron | santron
satwa | setua
saudagar | sudagar
saudara | sudara
sayat | sait
sayid | said
sayidani | saidani
sayidi | saidi
sebat | sebet
seberhana | berhana
sedatif | sedativa
sedekah | sidekah
sedekap | sedakap
sedelinggam | linggam
sediakala | sedekala
sedingin | sidingin
sedot | sedut
sejak | senjak
sejarah | syajarat
sek | seg
sekakar | sekaker
sekesel | sekosol
sekongkol | kongkol
sekop | singkup
sekring | sekering
selabar | selaber
selada | salada
selai | sele
selangat | selengat
selayun | selayut
seledri | selederi
seleguri | sidaguri
selempada | selembada
selempang | selepang
selempuri | selampuri
selenggara | lenggara
selenggara | senggara
selentik | jelentik
selepa | celepa
selepa | selapa
selibu | selimbu
selisik | telisik
selubung | kelubung
seludang | selodang
seludup | seledup
selup | sulup
selusuh | selosoh
semaja | semanja
semangat | sumangat
semarak | sumarak
sembrani | semberani
sembrono | semberono
semenjak | menjak
semenjak | semejak
semenjana | menjana
semenjana | semejana
sementelah | mentelah
semerbak | merbak
semesta | mesta
semilat | sembilat
sempena | sempana
sempurna | sampurna
senandung | sinandung
senantiasa | sentiasa
sendok | senduk
senduduk | sikeduduk
senget | menget
senggulung | tenggulung
sengkayan | sangkayan
sengkeling | cengkeling
sengkelit | serampat
sengsara | samsara
sengsem | semsem
sensor | sensur
sentak | sentap
sentimental | sentimentil
sentiong | sentiung
sentosa | sentausa
sentra | sentrum
senyampang | nyampang
senyap | senyak
sepasin | sipasin
seperah | safrah
sepesan | sepasan
sepoi | sepui
serabi | serabai
serakah | sarakah
seranggung | serangguh
serapah | serapa
serasah | seresah
serbat | syarbat
serdadu | soldadu
serdawa | sedawa
serempet | srempet
seriawan | sariawan
serikat | sarekat
serindit | selindit
seringai | seringih
serobok | sirobok
sersi | serse
seruda | seroda
seruduk | serodok
serunai | seruni
serundeng | serondeng
setagen | setagi
setan | syaitan
setawar | sitawar
setek | stek
setiabu | sentiabu
setirman | seteriman
setrap | seterap
setrik | seterik
setrika | seterika
setrimin | seterimin
setrip | seterip
setrum | seterum
setrup | seterup
siasat | siasah
sibernetika | kibernetika
sicerek | secerek
sidik | midik
sifilis | sipilis
sikin | sekin
sikudomba | siketumbak
silampukau | silempukau
silaturahmi | silaturahim
silempukau | selempukau
silinder | selender
silsilah | salasilah
simak | semak
simuntu | semuntu
singkap | singkak
singkek | singkeh
sinse | singse
sinuhun | senuhun
sipangkalan | sepangkalan
sipatung | sepatung
sirkuit | sirkit
sirop | sirup
siter | sitar
sitinggil | setinggil
skema | sekema
skenario | senario
skors | sekors
slendro | selendro
soal | sual
soang | sowang
sodor | sudur
soja | sojah
solak | sualak
sompek | sompeng
sompok | sompak
sondek | sundik
sontek | contek
sopir | supir
sopran | soprano
sorong | surung
sotoh | sotor
spanduk | sepanduk
spekuk | sepekuk
spidometer | spedometer
spion | sepion
spons | sepon
srigunting | serigunting
stambuk | setambuk
stambul | setambul
stapler | stepler
stasiun | setasiun
steker | seteker
stema | stemma
stempel | setempel
stoker | setoker
stoples | setoples
streng | setreng
strimin | setrimin
subjektif | subyektif
subjektivisme | subyektivisme
sukarelawan | relawan
sulalah | sulalat
sulap | sunglap
sulbi | sulub
suluh | sulu
sumpal | sumpel
sumpit | cupit
sumsum | sungsum
sunah | sunnah
sundul | sondol
surgawi | sorgawi
surih | suris
sweter | switer
syabas | sabas
syafakat | syafkah
syahadat | sahadat
syahbandar | sahbandar
syahid | sahid
syahwat | sahwat
syakban | syaban
syamsiah | syamsiat
syarif | sarip
syarifah | saripah
syarikat | syarekat
syok | suk
tabir | mabir
tabuhan | tebuan
tadarus | tedarus
tadi | tahadi
tafakur | pekur
tafakur | tepekur
tafeta | taftah
tahlil | tahalil
takabur | tekebur
takal | takel
takhta | tahta
takzir | tazir
talenan | telenan
talk | talek
tamadun | temadun
tambakan | tebakang
tambo | terambu
tampah | tetampah
tangkup | tangkut
tanjidor | tanjidur
tanker | tangker
taoco | tauco
tapa | tapah
tara | tarra
taram | teram
tarasul | terasul
tarawih | teraweh
tarhim | tarkhim
tarif | tarip
tarikh | tawarikh
tarkas | tarkasy
tarup | tarub
tasbih | sebih
tasydid | tasdid
tawaf | towaf
tawak-tawak | tetawak
tegur | tegor
teji | tezi
tekap | tekup
teko | tekoan
tekup | telekup
telanjur | terlanjur
telantar | terlantar
telegram | telgram
telekan | telakan
telempap | pelempap
telempong | telimpung
telepok | telipuk
telingkah | telingkuh
telungkup | telukup
temaah | temahak
tembam | tembem
tembatu | tematu
tembelang | tumbalang
tembereng | tembiring
tembesu | tembusu
tembikar | tembekar
tembuni | temuni
tempelak | tempalak
temperas | tempuras
tempuling | cempuling
tengalan | temengalan
tenggek | cenggek
tenggiling | senggiling
tenggiling | trenggiling
tenggiri | tenggiring
tengkarah | tingkarah
tengkawang | singkawang
tengkek | tengkik
tengku | tuku
tengkuk | tengkok
tengkulak | tengkolak
tengkuluk | tengkolok
tengkurap | tengkurup
tentara | tentera
tenteram | tentram
tepak | tipak
terampil | trampil
teras | taras
terindil | trindil
terjang | terajang
terka | teka
teroka | taruko
terpentin | tarpentin
terungku | terongko
terusi | tursi
tesmak | tasmak
testis | testes
tetapi | tapi
tetek | tektek
tetibar | tetibau
teyan | tean
tiang | tihang
tidak | indak
tikim | patikim
tikung | tiku
tilawah | tilawat
timang | imang
timpang | tempang
timus | ketimus
tindih | tindis
tiner | tener
tingkar | tingker
tirai | mirai
toapekong | pekong
toapekong | tepekong
tobat | taubat
todak | tudak
tohor | tuhur
tokek | tekek
tolan | taulan
toleransi | tolerir
tolong | tulung
tombak | tumbak
tombola | tembola
tongkat | tungkat
tongkol | tongkong
tonjol | tunjul
tonsil | tongsil
topang | tupang
toreh | tores
torpedo | terpedo
tragis | tragik
trakom | trakoma
transit | transito
trem | terem
triko | teriko
triwulan | tribulan
trofi | tropi
trompet | terompet
tufah | topah
tuhu | tetuhu
tukik | tungkik
tule | tile
tumpang | tompang
tumpas | tumpes
tumplak | tumplek
tungau | tungu
tunggik | tunggit
turne | torne
uber | hubar
ubrak-abrik | obrak-abrik
ubun-ubun | umbun-umbun
ucis | usis
uda | udo
ufuk | upuk
ular | uler
ulur | hulur
ungkai | rungkai
universitas | universitet
unjuk | hunjuk
unta | onta
unyai | runyai
uskup | biskop
uzur | udur
vakbon | pakbon
vanili | panili
ventilasi | pentilasi
volunter | polonter
vulkanisasi | vulkanisir
wabakdu | wabakdahu
wahdaniah | wahadaniah
wajik | wajit
warangka | werangka
we | wih
welahar | wilahar
wenter | winter
werek | werak
wilayah | ulayah
wreda | werda
wredatama | werdatama
zamrud | jamrud
zanggi | zenggi
zending | sending
ziarah | jiarah
zina | jina
